,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
1,2. el-,ai.,iláyati,"steht still, kommt zur Ruhe",iḷáyati soll fehlerhafte Schreibung sein,,"stand still, calm down",iḷáyati is supposed to be a misspelling
2,2. el-,ai.,an-ilaya-ḥ,"ruhelos, rastlos",,,"restless, relentless",
3,2. el-,ai.,alasás,"träge, müde, stumpf","zum s-Stamm *alas- 'Müdigkeit' wie rajasás : rájas-; nach Uhlenbeck Wb. 15 gehört jedoch alasá-ḥ als a-lasa- 'nicht munter' zu lásati, s. las- 'gierig'",,"sluggish, tired, dull","associated with the s-stem *alas- 'fatigue' like rajasás : rájas-; according to Uhlenbeck Wb. 15, however, alasá-ḥ is connected to a-lasa- 'not lively' from lásati, see las- 'greedy'"
4,2. el-,lit.,alsà,Müdigkeit,,,Tiredness,
5,2. el-,lit.,ilstù,müde werden,,,to become tired,
6,2. el-,lit.,il̃sti,müde werden,,,to become tired,
7,2. el-,lit.,ilsiúos,ruhen,,,to rest,
7,2. el-,lit.,ilsė́tis,ruhen,,,to rest,
8,2. el-,lit.,ãt-ilsis,Ausruhen,,,Resting.,
9,2. el-,gr.,ἐλῑνύω,"ruhe, raste, bin unwirksam, zögere, höre auf",Die gesamte Konstruktion ist sehr zweifelhaft; vgl. über ἐλῑνύω lei-2 'sich ducken' und lēi- 'nachlassen',,"calm down, rest, am ineffective, hesitate, stop",The entire construction is very doubtful; cf. via ἐλῑνύω lei-2 'to duck' and lēi- 'to slacken'
0,3. el- : ol-,norw.,ul,"verschimmelt, von Ekel erfüllt",Ohne kons. Erweiterung scheint die Wurzel schwundstufig vorzuliegen,,"Moldy, filled with disgust.","Without a consonant extension, the root seems to be in a degraded form"
1,3. el- : ol-,schwed.,ul,ranzig,Ohne kons. Erweiterung scheint die Wurzel schwundstufig vorzuliegen,,rancid,"Without a consonant extension, the root seems to be in a degraded form"
2,3. el- : ol-,holl.,uilig,verfault (von Holz),Ohne kons. Erweiterung scheint die Wurzel schwundstufig vorzuliegen,,rotted (from wood),"Without a consonant extension, the root seems to be in a degraded form"
3,3. el- : ol-,norw. schw.,ula,,,,,
4,3. el- : ol-,altn. norw. schw.,ulna,,,,,
5,3. el- : ol-,ai.,"āla- n., ",Gift,"Unsicher ob es hier gehört, Vermutete Wurzelform: *\ōl-n̥-ko\-",,Poison,"Unsure if it belongs here, Suspected root form: *\ōl-n̥-ko\- [UNKNOWN]"
,3. el- : ol-,ai.,ālaka-,Gift,"Unsicher ob es hier gehört, Vermutete Wurzelform: *\ōl-n̥-ko\-",,Poison,"Unsure if it belongs here, Suspected root form: *\ōl-n̥-ko\- [UNKNOWN]"
6,3. el- : ol-,ai.,r̥jīṣá́-ḥ,"klebrig, glatt, schlüpfrig",,general note: 'Gutturalerweiterung liegt vor in:',"sticky, smooth, slippery",
7,3. el- : ol-,lat.,alga,"Seegras, Seetang","Vermutete Wurzelform: *↓↓e↓↓lgā, vgl. ags. wōs 'Schlamm, Feuchtigkeit': engl. woos 'Meergras'",general note: 'Gutturalerweiterung liegt vor in:',"Seagrass, kelp","Suspected root form: *↓↓e↓↓lgā, cf. Old English wōs 'mud, moisture': English woos 'seaweed'."
8,3. el- : ol-,norw. dial.,ulka,"eitern, ekeln, anfangen zu faulen, Schimmel, anhaftender Schleim; widerwärtiges, unreinliches Weib",,general note: 'Gutturalerweiterung liegt vor in:',"festering, disgusted, beginning to decay, mold, adherent mucus; repulsive, unclean woman",
9,3. el- : ol-,dän.,ulk,cottus,,general note: 'Gutturalerweiterung liegt vor in:',cottus,
10,3. el- : ol-,norw.,ulk,Froschfisch,,general note: 'Gutturalerweiterung liegt vor in:',Frogfish,
11,3. el- : ol-,norw. dial.,olga,"ekeln, Übelkeit empfinden",,general note: 'Gutturalerweiterung liegt vor in:',"disgust, feel nauseous",
12,3. el- : ol-,norw. dial.,elgja,sich erbrechen wollen,,general note: 'Gutturalerweiterung liegt vor in:',wanting to vomit,
13,3. el- : ol-,isl.,ǣla,*alhian,,general note: 'Gutturalerweiterung liegt vor in:',*alhian,
14,3. el- : ol-,norw. dial.,alka,"sudeln, sauen",,general note: 'Gutturalerweiterung liegt vor in:',"to make a mess, to wallow",
15,3. el- : ol-,ndd.,alken,"in unreinen Sachen rühren, in Schmutz treten",,general note: 'Gutturalerweiterung liegt vor in:',"stirring in unclean things, stepping into dirt",
16,3. el- : ol-,dän. dial.,alske,sudeln,,general note: 'Gutturalerweiterung liegt vor in:',to make a mess,
17,3. el- : ol-,ndd.,alschen,,,general note: 'Gutturalerweiterung liegt vor in:',,
18,3. el- : ol-,fries.,"alsk, älsk","unrein, verdorben",,general note: 'Gutturalerweiterung liegt vor in:',"impure, spoiled",
19,3. el- : ol-,lat.,ulva,"Schilfgras, Seegras","Vermutete Wurzelform: *oleu̯ā, Sehr wahrscheinlich hierzu gehört",general note: 'Gutturalerweiterung liegt vor in:',"Reed grass, sea grass","Suspected root form: *oleu̯ā, Very likely related to"
20,3. el- : ol-,lit.,álksna,Lache,Kann auf *olg-snā zurückgehen,general note: 'Gutturalerweiterung liegt vor in:',Laugh,Can go back to *olg-snā.
21,3. el- : ol-,arm.,ałt,"Schmutz, Unreinigkeit",*ḷd-,general note: 'Dentalerweiterung erscheint in:',"Dirt, impurity",*ḷd- [UNKNOWN]
22,3. el- : ol-,arm.,"ałtiur, ełtiur",feuchte Niederung,und elteur,general note: 'Dentalerweiterung erscheint in:',wet lowland,und elteur [UNKNOWN]
23,3. el- : ol-,altnord.,ū̆ldna,schimmeln,,general note: 'Dentalerweiterung erscheint in:',to mold,
24,3. el- : ol-,ahd.,oltar,Schmutzkrume,,general note: 'Dentalerweiterung erscheint in:',Dirt crumb,
25,3. el- : ol-,anord.,ȳ̆lda,Moderduft,,general note: 'Dentalerweiterung erscheint in:',Mouldy smell,
26,3. el- : ol-,norw. dial.,ulma,schimmeln,,general note: 'm-Formantien finden sich in:',to mold,
27,3. el- : ol-,ndd. ostfries.,"olm, ulm","Fäulnis, bes. im Holz",,general note: 'm-Formantien finden sich in:',"Decay, especially in wood",
28,3. el- : ol-,mnd.,ulmich,von Fäulnis angefressen,,general note: 'm-Formantien finden sich in:',consumed by decay,
29,3. el- : ol-,mhd.,ulmic,ds.,,general note: 'm-Formantien finden sich in:'; E = von Fäulnis angefressen,etc.,
30,3. el- : ol-,lit.,"el̃mės, almens",die aus der Leiche fließende Flüssigkeit,,general note: 'm-Formantien finden sich in:',the fluid flowing out of the corpse,
31,3. el- : ol-,arm.,ałb,Dreck,,note: 'bh-Erweiterung liegt in:',Dirt,
0,elg-,arm.,ałkałk,"armselig, dürftig, gering, schlecht",,,"poor, meager, low, bad",
1,elg-,ahd.,ilki,Hunger,,,Hunger,
2,elg-,lit.,el̃gtis,betteln,,,begging,
3,elg-,lit.,el̃geta,Bettler,Lidén Arm. St. 99 f.,,Beggar,Lidén Arm. St. 99 f. [UNKNOWN]
4,elg-,,,,Verwandtschaft mit *__elk-__ 'hungrig; schlecht' ist aber ganz fraglich; s. dort.,reference to & comment about another root,,Relationship with *__elk-__ 'hungry; bad' is quite questionable; see there.
0,"embhi-, empi-",gr.,"ἐμπίς, -ίδος",Stechmücke,,,Mosquito,
1,"embhi-, empi-",ahd.,imbi,"Bienenschwarm, Bienenstock",ältester Beleg impi pīano,,"Bee swarm, beehive",oldest evidence impi pīano
,,,,,,,,
3,"embhi-, empi-",mhd.,imbe,"Bienenschwarm, Bienenstock","erst spät-mhd. 'Biene', *embi-o-",,"Bee swarm, beehive","erst spät-mhd. 'Biene', *embi-o-"
4,"embhi-, empi-",nhd.,Imme,Bienenschwarm,ablautend,,Bee swarm,showing ablaut
5,"embhi-, empi-",ags.,imbe,Bienenschwarm,*umbia,,Bee swarm,*umbia [UNKNOWN]
0,ēn,gr.,ἤν,siehe da!,,,behold!,
1,ēn,gr.,ἠήν,siehe da!,,,behold!,
2,ēn,lat.,ēn,siehe da!,,,behold!,
0,"enq-, onq-",gr.,ὀγκάομαι,"schreie, brülle",vom Esel,,"scream, roar",from the donkey
1,"enq-, onq-",gr.,ὄκνος,Rohrdommel,*ὄγκνος,,Little Bittern,*ὄγκνος [UNKNOWN]
2,"enq-, onq-",alb.,nëkónj,"ächze, seufze, klage",*enq-,,"groan, sigh, lament",*enq- [UNKNOWN]
3,"enq-, onq-",geg.,angój,"ächze, seufze, klage",*enq-,,"groan, sigh, lament",*enq- [UNKNOWN]
4,"enq-, onq-",lat.,"uncō, -āre",vom Naturlaut des Bären,,,from the natural sound of the bear,
5,"enq-, onq-",cymr.,och,gemitus,"Interjektion 'ach!', ist nicht aus *oŋq- herleitbar und wohl sicher eine junge interjektionelle Schöpfung",,groaning,"Interjection 'ach!', cannot be derived from *oŋq- and is probably a young interjectional creation."
6,"enq-, onq-",slav.,*jęčati,seufzen,,,to sigh,
7,"enq-, onq-",russ.-ksl.,"jaču, jačati",seufzen,,,to sigh,
8,"enq-, onq-",russ.-ksl.,jaklivъ,"μογιλάλος, aegre loquens",,,"Stammerer, speaking with difficulty.",
9,"enq-, onq-",russ. mdartl.,jačátь,"stöhnen, klagend rufen",,,"moaning, calling out in complaint",
10,"enq-, onq-",mir.,ong,"Stöhnen, Seufzer, Wehklage",Mit Media,"General note: ""Mit Media""","Groaning, sighing, lamentation",With Media
11,"enq-, onq-",air.,ennach,Krähe,aus *eng-n-ākā,"General note: ""Mit Media""",Crow,from *eng-n-ākā
12,"enq-, onq-",air.,enchache,scurrilitas,femininum,"General note: ""Mit Media""",indecency,femininum
13,"enq-, onq-",mnd.,anken,"stöhnen, seufzen",,"General note: ""Mit Media""","moaning, sighing",
14,"enq-, onq-",norw. mdartl.,ank,"Gewimmer, Seufzen, Kummer, Reue",,"General note: ""Mit Media""","Whining, sighing, sorrow, regret",
15,"enq-, onq-",dän.,"ank, anke","Klage, Beschwerde",,"General note: ""Mit Media""","Lawsuit, complaint.",
16,"enq-, onq-",dän.,ynke,"bemitleiden, bedauern, beklagen",ablautend,"General note: ""Mit Media""","empathize, regret, complain",showing ablaut
17,"enq-, onq-",schwed.,ynka,"bemitleiden, bedauern, beklagen",ablautend,"General note: ""Mit Media""","empathize, regret, complain",showing ablaut
18,"enq-, onq-",nhd.,Unke,nach ihrem kläglichen Ruf,"allenfalls auch nhd. Unke nach ihrem kläglichen Ruf (doch mhd. Schallwort ūche 'Kröte'; s. noch Kluge^^11^^, der Kreuzung dieser ūche mit mhd. ahd. unc 'Schlange' [s. oben S. 44] erwägt)","General note: ""Mit Media""",after their pitiful reputation,"at most also Modern High German ""Unke"" according to its pitiful reputation (but Middle High German sound word ""ūche"" 'toad'; see also Kluge^^11^^, who considers the crossing of this ""ūche"" with Middle High German and Old High German ""unc"" 'snake' [see above p. 44]) considered"
19,"enq-, onq-",lit.,"ùngti, ùngau",wimmern wie ein Hund,Ein Schallwort,"General note: ""Mit Media""",whimper like a dog,A sound word
0,"ent-, better ant-?",ai.,átka-ḥ,"Gewand, Mantel",m.  \n̥t-ko-s\,,"Robe, coat",m. \n̥t-ko-s\ [UNKNOWN]
1,"ent-, better ant-?",av.,aδka-,"Oberkleid, Mantel",\n̥t-ko-s\,,"Outer garment, coat",[UNKNOWN]
2,"ent-, better ant-?",av.,atka-,"Oberkleid, Mantel",\n̥t-ko-s\,,"Outer garment, coat",[UNKNOWN]
3,"ent-, better ant-?",alb.,ent,"webe, zettle das Gewebe an",(\*ent-i̯-\ oder *\n̥t\-\i̯\),,"weave, settle the fabric",(\*ent-i̯-\ or *\n̥t\-\i̯\)
4,"ent-, better ant-?",alb.,int,"webe, zettle das Gewebe an",(\*ent-i̯-\ oder *\n̥t\-\i̯\),,"weave, settle the fabric",(\*ent-i̯-\ or *\n̥t\-\i̯\)
5,"ent-, better ant-?",gr.,att. ἄττομαι,webe,(\*n̥t-i̯o-\),,weave,(\*n̥t-i̯o-\) [UNKNOWN]
6,"ent-, better ant-?",gr.,δίαζομαι,webe,"(vgl. Debrunner IF. 21, 216)",,weave,"(cf. Debrunner IF. 21, 216)"
7,"ent-, better ant-?",gr.,ἄσμα,Kettenfaden,,,Chain thread,
8,"ent-, better ant-?",gr.,δίασμa,Kettenfaden,,,Chain thread,
9,"ent-, better ant-?",gr.,ἄνταρ,Kettenfaden,"(Petersson Heterokl. 262), ist eher *\ant\- als Wurzel anzusetzen. Jedoch besteht bei gr. Kulturwörtern der Verdacht voridg. Herkunft",,Chain thread,"(Petersson Heterokl. 262), is rather to be understood as an *\ant\-' than a root. However, there is suspicion of pre-Greek origin in ancient Greek cultural words."
10,"ent-, better ant-?",gr.,ἀντήριος,Kettenfaden,ist eher *\ant\- als Wurzel anzusetzen. Jedoch besteht bei gr. Kulturwörtern der Verdacht voridg. Herkunft,,Chain thread,"is rather to be understood as a suffix than as a root. However, there is suspicion of pre-Greek origin in Greek cultural words."
11,"ent-, better ant-?",air.,étid,bekleidet,(\*en-togo-\) gebildet sein,Pokorny is saying these don't belong here - need a way to include in entry but not as derived from root,clothed,(*en-togo-) to be formed [UNKNOWN]
12,"ent-, better ant-?",air.,étiud,Kleidung,(\*en-togo-\) gebildet sein,Pokorny is saying these don't belong here,Clothing,(*en-togo-) to be formed [UNKNOWN]
13,"ent-, better ant-?",ai.,átka-ḥ,"Haut, Schlauch","die Gleichung ai. \átka-ḥ\ : gr. ἀσκός 'Haut, Schlauch' ist der Bedeutung wegen zweifelhaft",,"Skin, hose","the equation ai. \átka-ḥ\ : gr. ἀσκός 'skin, tube' is doubtful due to its meaning"
14,"ent-, better ant-?",gr.,ἤτριον,Kettenfaden,vorgr. Herkunft verdächtig,verdächtig,Chain thread,suspicious prehistoric origin
15,"ent-, better ant-?",gr.,dor. ἄ̄τριον,Kettenfaden,vorgr. Herkunft verdächtig,verdächtig,Chain thread,suspicious prehistoric origin
0,epero-,lat.,aper,Eber,,,Boar,
1,epero-,lat.,aprī,Eber,,,Boar,
2,epero-,umbr.,apruf,Schweine,Akk. Pl.,"general note for Italic forms: ""a wohl nach caper""",Pigs,Accusative plural.
3,epero-,umbr.,abrof,Schweine,Akk. Pl.,"general note for Italic forms: ""a wohl nach caper""",Pigs,Accusative plural.
4,epero-,umbr.,abrunu,Schweine,Akk. Sg.,"general note for Italic forms: ""a wohl nach caper""",Pigs,Accusative singular.
5,epero-,umbr.,abrons,Schweine,Akk. Pl.,"general note for Italic forms: ""a wohl nach caper""",Pigs,Accusative plural.
6,epero-,lat.,Aprōnius,Schweine,"siehe Schulze Eigennamen 111, 124 f.","general note for Italic forms: ""a wohl nach caper""",Pigs,"see Schulze Eigennamen 111, 124 f."
7,epero-,mars.-lat.,Aprufclano,Schweine,"siehe Schulze Eigennamen 111, 124 f.","general note for Italic forms: ""a wohl nach caper""",Pigs,"see Schulze Eigennamen 111, 124 f."
8,epero-,lat.,aprugnus,vom Eber,abgeleitet mit Suffix -gno- zur Wz. __ĝen__,"general note for Italic forms: ""a wohl nach caper""",from the boar,derived with suffix -gno- from the root __ĝen__
9,epero-,lat.,Eprius,PN,,,Private message,
10,epero-,germ.,*ebura-,Eber,,,Boar,
11,epero-,altn.,jǫfurr,Fürst,"in übertragener Bedeutung, eigentlich 'Eber'",,Prince,"in a figurative sense, actually 'boar'"
12,epero-,ags.,eofor,Eber,,,Boar,
13,epero-,mndd.,ever,wild boar,,,wildschwein,
14,epero-,ahd.,ebur,wild boar,,,wildschwein,
15,epero-,nhd.,Eber,wild boar,,,wildschwein,
16,epero-,asl.,veprь,Eber,Mit (analogischem?) v-Vorschlag gehören hierher,,Boar,"With (analogical?) v-proposal, belongs here"
17,epero-,skr.,vȅpar,wild boar,"Gen. vȅpra, Mit (analogischem?) v-Vorschlag gehören hierher",,wildschwein,"Genitive of vȅpr, with (analogous?) v-proposal belong here."
18,epero-,poln.,wieprz,wild boar,"Gen. wieprza, Mit (analogischem?) v-Vorschlag gehören hierher",,wildschwein,"Gen. wieprza, Mit (analogischem?) v-proposal belong here."
19,epero-,russ.,veprь,wild boar,"Gen. véprja, Mit (analogischem?) v-Vorschlag gehören hierher",,wildschwein,"Gen. véprja, Mit (analogous?) v-proposal belong here"
20,epero-,lett.,vepris,Eber,"ist nicht dem Slav. entlehnt, sondern urverwandt",,Boar,"is not borrowed from Slavic, but is proto-related"
21,epero-,lit.,Vẽpriai,ON,Plur.,,ON,Plur. [UNKNOWN]
22,epero-,apr.,Weppren,ON,,,ON,
23,epero-,thrak.,ἔβρος,Bock,unklar,,Goat,unclear
0,ēpi-,ai.,āpí,"Freund, Bundesgenosse",,,"Friend, ally",
1,ēpi-,ai.,āpyam,"Freundschaft, Genossenschaft",,,"Friendship, cooperative",
2,ēpi-,gr.,ἤπιος,"freundlich, mild; beistehend",,,"friendly, gentle; supportive",
3,ēpi-,gr.,*epi,"nahe hinzu, ἐπί","so daß *ēpi-s (und *ēpi-os) den 'nahe bei einem weilenden, den hilfreichen Gefährten' bezeichnet hätte, woraus auch 'traut'",,"close together, on top","so that *ēpi-s (and *ēpi-os) would have designated 'nearby residing, the helpful companion', from which 'traut' as well."
4,ēpi-,gr.,ἠπάομαι,heile,ursprüngl. (?) 'heile' (vgl. ἤπια φάρμακα πάσσειν) und daraus 'flicke'?,,intact/whole/healthy,originally (?) 'heal' (compare ἤπια φάρμακα πάσσειν) and from that 'fix'?
0,"epop, opop",arm.,popop,Wiedehopf,,,Hoopoe,
1,"epop, opop",npers.,pūpū,Wiedehopf,,,Hoopoe,
2,"epop, opop",gr.,ἐποποῖ ποποπό,Ruf des Wiedehopfs,,,Call of the European Hoopoe,
3,"epop, opop",gr.,"ἔποψ, -οπος",Wiedehopf,(-ωπ- wohl durch Anlehnung an -ωψ),,Hoopoe,(-ωπ- wohl durch Anlehnung an -ωψ) [UNKNOWN]
4,"epop, opop",gr.,ἔπωπα,ἀλεκτρυόνα ἄγριον,Hes.,,Wild rooster,Hes. [UNKNOWN]
5,"epop, opop",gr.,ἄπαφός,"ἔποψ, τὸ ὄρνεον","Hes. (assimiliert aus *επαφός, das im Ausgang nach dem Tiernamensuffix -αφος umgebildet ist)",,"Behold, the bird.","Hes. (assimilated from *επαφός, which is transformed in the ending after the animal name suffix -αφος)"
6,"epop, opop",lat.,upupa,Wiedehopf,,,Hoopoe,
7,"epop, opop",ndd.,Hupphupp,a kind of exclamation,,,a kind of exclamation,
8,"epop, opop",nhd.,Wiedehopf,,,,,
9,"epop, opop",ahd.,wituhopfo,,"ist eine Umdeutung nach germ. widu- (idg. u̯idhu-) 'Baum, Holz'",,,"is a reinterpretation according to Old Germanic widu- (Indo-Germanic u̯idhu-) 'tree, wood'"
10,"epop, opop",as.,widohoppa,,"ist eine Umdeutung nach germ. widu- (idg. u̯idhu-) 'Baum, Holz'",,,"is a reinterpretation according to Old Germanic widu- (Indo-Germanic u̯idhu-) 'tree, wood'"
11,"epop, opop",mhd.,hopfen,hüpfen,"ist eine Umdeutung nach germ. widu- (idg. u̯idhu-) 'Baum, Holz'",,jump,"is a reinterpretation according to Old Germanic widu- (Indo-Germanic u̯idhu-) 'tree, wood'"
12,"epop, opop",lett.,puppukis,Wiedehopf,,,Hoopoe,
13,"epop, opop",osorb.,hupak,Wiedehopf,"Ähnlich, aber unredupliziert",,Hoopoe,"Similar, but not reduplicated"
14,"epop, opop",poln.,hupek,Wiedehopf,"Ähnlich, aber unredupliziert",,Hoopoe,"Similar, but not reduplicated"
15,"epop, opop",osorb.,hupać,wie ein Wiedehopf schreien,"Ähnlich, aber unredupliziert",,to scream like a hoopoe,"Similar, but not reduplicated"
16,"epop, opop",slovak.,húpati,schreien,vgl. auch allgemeiner,,scream/shout/yell,vgl. auch allgemeiner
17,"epop, opop",russ.,chupsti sja,sich rühmen,alt,,to boast/brag,old
0,eph-,arm.,ep'em,koche,,,cook,
1,eph-,gr.,ἕψω,koche,"Fut. ἑψήσω, Partiz. ἑφθός (erweist an sich nicht idg. ph, da auch *ἑπστός zu ἑφθός führen mußte); doch wird ἕψω so-Präs. sein (vgl. δέψω : δέφω) und arm. p' ein idg. ph fortsetzen.",,cook,"Fut. ἑψήσω, Participle ἑφθός (does not show Indo-Germanic ph by itself, since also *ἑπστός had to lead to ἑφθός); however, ἕψω will be the present tense (cf. δέψω : δέφω) and Armenian p' will continue Indo-Germanic ph."
0,"2. er-, eri-",arm.,or-oj,"agnus, agna",assimil. aus *er-oj,,"lamb, sheep",assimil. from *er-oj
1,"2. er-, eri-",arm.,erinj,"δάμαλις, vitula, iuvenca, bos",,,"heifer, calf, young cow, ox",
2,"2. er-, eri-",gr.,ἔριφος,"Böcklein, junge Ziege",*eri-bho- m. f.,,"Kid, young goat",*eri-bho- m. f. [UNKNOWN]
3,"2. er-, eri-",lat.,"ariēs, -etis","Widder, Mauerbrecher","a nach aper, caper",,"Ram, wall breaker","a into aper, caper"
4,"2. er-, eri-",umbr.,erietu,arietem,,,ramming,
5,"2. er-, eri-",air.,heirp,"dama, capra",*erbhī- f.,,"lady, goat",*erbhī- feminine.
6,"2. er-, eri-",air.,erb(b),Kuh,*erbhā,,Cow,*erbhā [UNKNOWN]
7,"2. er-, eri-",mir.,ferb(b),Kuh,mit sekundärem f-,,Cow,with secondary f-
8,"2. er-, eri-",nir.,"earb, fearb","Rotwild, Kuh",,,"Red deer, cow",
9,"2. er-, eri-",schott.-gäl.,earb,Reh,,,Deer,
10,"2. er-, eri-",mir.,reithe,Widder,"nach Kleinhans (Ét. Celt. 1, 173) hierher aus *ri-i̯o-ti̯o-",,Aries,"according to Kleinhans (Ét. Celt. 1, 173) derived from *ri-i̯o-ti̯o- here"
11,"2. er-, eri-",apr.,eristian,Lämmchen,,,Lamb,
12,"2. er-, eri-",lit.,(j)ė́ras,Lamm,*ero- 'Bock' und *jōrā- 'Jahr' (s. oben S. 297) vermischt,,Lamb,*ero- 'buck' and *jōrā- 'year' (see above p. 297) mixed.
12,"2. er-, eri-",lett.,jêrs,Lamm,*ero- 'Bock' und *jōrā- 'Jahr' (s. oben S. 297) vermischt,,Lamb,*ero- 'buck' and *jōrā- 'year' (see above p. 297) mixed.
13,"2. er-, eri-",litt.,ėrienà,Lammfleisch,"/= russ.-ksl. jarina 'Wolle', usw.",,Lamb meat,"/= Russian-Church Slavonic jarina 'wool', etc."
14,"2. er-, eri-",ahd.,irah,Bock,aus lat. hircus entlehnt.,Pokorny saying that this word isn't related,Goat,borrowed from Latin hircus.
0,"ereb-, orob-, rōb-",lett.,ir̂bs,Stricknadel,Reimwort zu virbs,,Knitting needle,Rhyme word for virbs
1,"ereb-, orob-, rōb-",lett.,ir̃bulis,"Pflöckchen, Griffel",,,"Stake, stylus",
2,"ereb-, orob-, rōb-",lit.,ùrbinti,mit dem Pfriemen ein Loch machen,,,making a hole with an awl,
3,"ereb-, orob-, rōb-",lit.,ur̃bti,bohren,lett. urbt,,drilling,lett. urbt [UNKNOWN]
4,"ereb-, orob-, rōb-",lit.,urbulis,"Pfriemen, Griffel",,,"Awl, stylus",
5,"ereb-, orob-, rōb-",lit.,ruõbti,aushöhlen,,,hollow out,
6,"ereb-, orob-, rōb-",lit.,ruobtùvas,Hohlmesser,,,Hollow knife,
7,"ereb-, orob-, rōb-",lett.,ruobs,"Kerbe, Einschnitt, Falz, Mangel, Zwistigkeit",,,"Notch, incision, crease, lack, discord",
8,"ereb-, orob-, rōb-",idg.,"ereb-, orob-, rōb-","to drill, make holes, hollow out","Die Ablautverhältnisse sprechen für idg. Alter der Sippe, obwohl die Heranziehung von gr. ἄρβηλος 'rundes Schustermesser' und ἀρβύλη 'starker, den ganzen Fuß bedeckender Schuh' (wenn ursprünglich 'ausgehöhlter Holzschuh') ganz fraglich bleibt, da letztere auch auf einem Worte für 'Schuh' ganz anderer Herkunft fußen können.",this is a general comment,"drill, make holes, hollow out","The ablaut relationships speak for the Indo-Germanic age of the tribe, although the use of Greek ἄρβηλος 'round cobbler's knife' and ἀρβύλη 'strong, full-foot shoe' (originally 'hollowed-out wooden shoe') remains highly questionable, as the latter may also be based on a word for 'shoe' of completely different origin."
0,ered-,ai.,árdati,"fließt (in Kompositis), zerstiebt, löst sich auf; beunruhigt",,,"flows (in compounds), dissipates, dissolves; unsettled",
0,ered-,ai.,r̥dáti,"fließt (in Kompositis), zerstiebt, löst sich auf; beunruhigt",,,"flows (in compounds), dissipates, dissolves; unsettled",
1,ered-,ai.,ardáyati,"macht fließen, löst auf, bedrängt, quält, tötet",,,"empowers to flow, dissolves, oppresses, torments, kills",
2,ered-,ai.,ārdrá,"feucht, naß",,,"moist, wet",
3,ered-,ai.,r̥dū,Feuchtigkeit,,,Moisture,
4,ered-,av.,arədvī-,"Name eines mythischen Flusses, meist als weibliche Gottheit gedacht",,,"Name of a mythical river, often thought of as a female deity",
5,ered-,gr.,ἄρδᾰ,Schmutz,,,Dirt,
6,ered-,gr.,ἄρδαλος,schmutzig,,,dirty,
,,,,,,,,
7,ered-,kelto-ligur.,Rodanos,FlN,"(frz. Rhône = nhd. der Rotten, ital. Rodano usw.) als `der fließende' (gräzis. ̓Ηρίδανος aus iberisiert. *Errodanos)",,AI,"(frz. Rhône = nhd. the Rotten, Ital. Rodano etc.) as 'the flowing' (Greek ̓Ηρίδανος from Iberian *Errodanos)."
8,ered-,nhd. dial.,Rednitz,FlN,(Bayern) aus *Rodantia.,,AI,(Bayern) from *Rodantia.
0,"1. erek-, er[e]gh-",ai.,likṣā́,"Nisse, Lausei",wohl aus *lakṣā́ durch Einfluß von likháti 'ritzt',,"Nisse, louse egg",wohl aus *lakṣā́ durch Einfluß von likháti 'ritzt'
1,"1. erek-, er[e]gh-",lat.,ricinus,"ein sich in die Haut von Schafen, Hunden oder Rindvieh einbohrendes Ungeziefer, Zecke","unsicher ist die Zugehörigkeit von 2. 'eine Strauchart, Ricinus communis' kann auf älteres *recinos zurückgehen",,"a parasite, tick, burrowing into the skin of sheep, dogs, or cattle","It is uncertain the belonging of 2. 'a shrub species, Ricinus communis' may go back to the older *recinos."
2,"1. erek-, er[e]gh-",lit.,érkė,"Zecke, Schaflaus",kann auf älteres *erki̯ā zurückgehen,,"Tick, sheep louse",can be traced back to an earlier *erki̯ā
3,"1. erek-, er[e]gh-",lett.,ẽrce,"Kuhmilbe, böse Person",unter idg. *erek- zusammengehören,,"Cow mite, evil person",belong together under idg. *erek-
4,"1. erek-, er[e]gh-",arm.,o(r)jil,"Nisse, Lausei",hier scheint eine Wurzelvariante er(e)gh- vorzuliegen,,"Nisse, louse egg",here seems to be a root variant er(e)gh- present
5,"1. erek-, er[e]gh-",arm.,ork'iun,"ringworm, itching, erysipelas","aus *orqii̯ōno- (?) mit einem-no-Suffix wie im Lat. nach Petersson KZ. 47, 263 f.",,"ringworm, itching, erysipelas","from *orqii̯ōno- (?) with a -no- suffix as in Latin according to Petersson KZ. 47, 263 f. [UNKNOWN]"
6,"1. erek-, er[e]gh-",alb.,ergjiz,kleine Laus,"s. G. Meyer Alb.Wb. 96; Zweifel bei Hermann KZ. 41, 48; doch kann der abweichende Guttural im Armen. und Alban. auf tabuierender Entstellung beruhen",,little louse,"see G. Meyer Alb.Wb. 96; doubts with Hermann KZ. 41, 48; however, the deviating guttural in Armenian and Albanian may be based on taboo-distortion."
0,"2. er(e)k-, rek-, rok-",ai.,r̥kṇá-ḥ,"geschunden, kahlgerieben",,,"battered, rubbed bald",
1,"2. er(e)k-, rek-, rok-",ai.,r̥kṣá-ḥ,kahl,,,bald,
2,"2. er(e)k-, rek-, rok-",ai.,r̥kṣara-ḥ,"Spitze, Dorn",,,"Tip, thorn.",
3,"2. er(e)k-, rek-, rok-",lit.,j-ėrkà,Schlitz,,,Slot/Slit,
4,"2. er(e)k-, rek-, rok-",lit.,pra-j-ėrkà,Schlitz,,,Slot/Slit,
