,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
0,po-ti,po-ti,av.,paiti,"gegen, entgegen, zu, auf, bei; an; für, um; von - aus; an - hin, in",,,"towards, against, to, on, at; on, at; for, around; from - out of; to - towards, into",
1,po-ti,po-ti,ap.,patiy,"gegen, entgegen, zu, auf, bei; an; für, um; von - aus; an - hin, in",,,"towards, against, to, on, at; on, at; for, around; from - out of; to - towards, into",
2,po-ti,po-ti,hom.,ποτί,"gegen - hin, gegen, gegenüber; an, zu', 'an - hin, von-'",πρός',,"towards - there, against, towards; on, to', 'on - there, from-'",πρός' [UNKNOWN]
3,po-ti,po-ti,böot.,ποτί,"gegen - hin, gegen, gegenüber; an, zu', 'an - hin, von-'",πρός',,"towards - there, against, towards; on, to', 'on - there, from-'",πρός' [UNKNOWN]
4,po-ti,po-ti,lak.,ποτί,"gegen - hin, gegen, gegenüber; an, zu', 'an - hin, von-'",πρός',,"towards - there, against, towards; on, to', 'on - there, from-'",πρός' [UNKNOWN]
0,pougo- oder pougho-,"pougo-, or pougho-",air.,ōg,jungfräulich,,,virginal,
1,pougo- oder pougho-,"pougo-, or pougho-",air.,ōge,Jungfräulichkeit,,,Virginity,
2,pougo- oder pougho-,"pougo-, or pougho-",čech.,pouhý,"lauter, bloß, einfach",,,"louder, only, simple",
0,prīs-,prīs-,gr.,πρί̄ω,"durchsäge, knirsche mit den Zähnen","(ἐπρίσθην, πριστός)",,"saw through, grind my teeth","(ἐπρίσθην, πριστός)"" [UNKNOWN]"
,,,,,,,,,
,,,,,,,,,
3,prīs-,prīs-,gr.,"πρί̄ων, -ονος",Säge,,,Saw,
4,prīs-,prīs-,gr.,πρῖσμα,"das Gesägte, Sägespäne; dreiseitige Säule",,,"the sawed, sawdust; three-sided column",
5,prīs-,prīs-,alb.,prish,"verderbe, zerbreche, zerstöre",,,"spoil, break, destroy",
0,pr̥so- (?),pr̥so-,gr.,πράσον,Lauch,mediterranes Lehnwort,,Leek,Mediterranean loanword
1,pr̥so- (?),pr̥so-,lat.,porrum,Lauch,mediterranes Lehnwort,,Leek,Mediterranean loanword
2,pr̥so- (?),pr̥so-,lat.,porrus,Lauch,mediterranes Lehnwort,,Leek,Mediterranean loanword
0,puk̂-2,2. puk̑-,av.,pusā-,Stirnband,f.,,Headband,f. [UNKNOWN]
1,puk̂-2,2. puk̑-,gr.,ἄμ-πυξ,Stirnband,m.,,Headband,m.
2,puk̂-2,2. puk̑-,gr.,πύκα,"fest, dicht, verständig, sorgfältig",Adverb,,"firm, tight, sensible, careful",Adverb
3,puk̂-2,2. puk̑-,gr.,πυκι-,in compounds,im Kompositum πυκι-μήδης 'verständig',,in compounds,in the compound πυκι-μήδης 'verständig'
4,puk̂-2,2. puk̑-,gr.,πυκι-νός,"dicht, fest, tüchtig",jünger πυκνός,,"tight, solid, capable",jünger πυκνός [UNKNOWN]
5,puk̂-2,2. puk̑-,gr.,πυκάζω,"mache fest, umhülle dicht",,,"secure tightly, seal tightly",
6,puk̂-2,2. puk̑-,alb.,puth,küsse,eigentl. 'umarme',,kisses,eigentlich 'umarme'
0,rē-5,5. rē-,ai.,rāmá-,"dunkelfarbig, schwarz",,,"dark-colored, black",
1,rē-5,5. rē-,ai.,rāmá-,"Dunkel, Nacht",n.,,"Dark, night",n. [UNKNOWN]
2,rē-5,5. rē-,ai.,rāmī,Nacht,f.,,Night,f. [UNKNOWN]
3,rē-5,5. rē-,mhd.,rām,"Schmutz, Ruß",m.,,"Dirt, soot",m.
4,rē-5,5. rē-,mhd.,rōm,"Schmutz, Ruß",m.,,"Dirt, soot",m.
5,rē-5,5. rē-,nisl.,rāma-legr,schmutzig,,,dirty,
6,rē-5,5. rē-,ahd.,rāmac,"schmutzig, rußig",,,"dirty, sooty",
7,rē-5,5. rē-,mhd.,rāmec,"schmutzig, rußig",,,"dirty, sooty",
8,rē-5,5. rē-,mhd.,rāmig,"schmutzig, rußig",,,"dirty, sooty",
9,rē-5,5. rē-,ags.,rōmig,rußig,,,sooty,
10,rē-5,5. rē-,ne.,room,"scurf on the head, dandruff",,,"scurf on the head, dandruff",
11,rē-5,5. rē-,ai.,rātrī,Nacht,"besser zu lat. \lateō\ usw., oben S. 651 nachzutragen.",Pokorny says this form is connected to another root,Night,"better to be added to Latin \lateō\ etc., see above p. 651."
12,rē-5,5. rē-,lat.,rāvus,"grau, graugelb",mit \-u̯o-\Formans,,"gray, gray-yellow",with \-u̯o-\ formant
0,rebh-1,1. rebh-,Npers.,raftan,gehen,,,go,
1,rebh-1,1. rebh-,mparth.,raf-,"angreifen, kämpfen",,,"attack, fight",
2,rebh-1,1. rebh-,osset.,räväg,schnell,,,fast/quick,
3,rebh-1,1. rebh-,mir.,reb,"Spiel, Tücke",\*rebā\,,"Game, trick",*rebā [UNKNOWN]
4,rebh-1,1. rebh-,mir.,rebrad,Kinderspiel,,,Child's play,
5,rebh-1,1. rebh-,mir.,rebaigim,ich spiele,,,I play,
6,rebh-1,1. rebh-,germ.,*reb-,in heftiger Bewegung sein,,,to be in violent motion,
7,rebh-1,1. rebh-,mhd.,reben,"sich bewegen, rühren",st. Vb.,,"to move, to stir",st. Vb. [UNKNOWN]
8,rebh-1,1. rebh-,nhd.,rebisch,munter,bair.,,lively/happy,bair. [UNKNOWN]
9,rebh-1,1. rebh-,schweiz.,räbeln,lärmen,,,to make noise,
10,rebh-1,1. rebh-,mhd.,reben,"träumen, verwirrt sein",,,"dreaming, being confused",
11,rebh-1,1. rebh-,mnd.,reven,"unsinnig reden, denken",,,speaking and thinking nonsense,
12,rebh-1,1. rebh-,norw.,rava,hin und her taumeln,dial.,,to stagger back and forth,dial.
0,reibh-,reibh-,ai.,rébhati,"knarren, knistern, murmeln; schreien",,,"creaking, crackling, murmuring; screaming",
1,reibh-,reibh-,lett.,rìbêt,"dröhnen, poltern, tosen",,,"rumble, clatter, roar",
2,reibh-,reibh-,lett.,ribêt,"dröhnen, poltern, tosen",,,"rumble, clatter, roar",
0,reid-,reid-,gr.,ἐρείδω,"lehne an, unterstütze, dränge, strenge mich an",hom. ἐρηρέδαται für -ριδ-,,"lean on, support, urge, strive",hom. ἐρηρέδαται for -ριδ- [UNKNOWN]
1,reid-,reid-,gr.,ἔρεισμα,Stütze,,,Support,
2,reid-,reid-,gr.,"ἀντ-ηρίς, -ηρίδος","Strebepfeiler, Stütze",,,"Buttress, support",
3,reid-,reid-,lat.,ridica,ein durch Spalten größerer Pflöcke gewonnener Weinpfahl?,,,a wine stake obtained by splitting larger posts?,
0,reik-,reik-,norw.,rjaa,Stange zum Trocknen des Getreides,\rīhan\; m.,,Pole for drying the grain,"\rīhan\; m."" [UNKNOWN]"
1,reik-,reik-,schwed. dial.,ri,"Pfahl, Stange",,,"Pole, rod",
2,reik-,reik-,mnd.,rick,lange dünne Stange,\*rikkó-\,,long thin rod,"\*rikkó-\"" [UNKNOWN]"
3,reik-,reik-,mnd.,reck,lange dünne Stange,\*rikkó-\,,long thin rod,"\*rikkó-\"" [UNKNOWN]"
4,reik-,reik-,mhd.,"ric, -ckes","waagrechtes Gestell, Stange",m.,,"horizontal frame, rod",m.
,,,,,,,,,
6,reik-,reik-,nhd.,Reck,to stretch oneself; pole,,,to stretch oneself; pole,
7,reik-,reik-,ahd.,rigil,"Riegel, Reeling",,,"Bolt, reeling",
8,reik-,reik-,mnd.,regel,"Riegel, Reeling",,,"Bolt, reeling",
9,reik-,reik-,nnd.,rīchel,Riegel,,,Bar,
10,reik-,reik-,ndl.,rĳgel,Riegel,"älter, jetzt \richel\",,Bar,"older, now \richel\"
11,reik-,reik-,isl.,rīgr,Steifheit,auch Name des Heimdallr,,Stiffness,also name of Heimdallr.
12,reik-,reik-,mnd.,rēch,steif,,,stiff/stiffly,
13,reik-,reik-,aisl.,reigjask,"den Körper aufrichten, sich anspannen",,,"Straighten the body, tense up",
14,reik-,reik-,ags.,rǣge-rēose,Muskeln am Rückgrat,,,Muscles on the spine,
15,reik-,reik-,aisl.,"riga, -aða","(hin und her) bewegen, zum Wanken bringen",,,"move back and forth, make waver",
,,,,,,,,,
17,reik-,reik-,schweiz.,rigelen,schwanken,,,to fluctuate/to waver,
18,reik-,reik-,norw. dial.,rigga,erschüttern,,,shake,
19,reik-,reik-,norw.,rikke,"bewegen, rücken",,,"move, shift",
20,reik-,reik-,ostfries.,rikke(l)n,"hin und her bewegen, wackeln",,,"move back and forth, wiggle",
21,reik-,reik-,lett.,rìku,"gerinnen, fest werden",(\rìkstu\),,"curdle, become firm",(\rìkstu\) [UNKNOWN]
22,reik-,reik-,lett.,rikt,"gerinnen, fest werden",,,"curdle, become firm",
0,"rēito-, rēiti-","rēito-, rēiti-",arm.,eri,"Bug, Schulter von Tieren",Gen. \ervoy\,,"Bug, shoulder of animals",Gen. \ervoy\ [UNKNOWN]
1,"rēito-, rēiti-","rēito-, rēiti-",lit.,ríetas,"Oberschenkel, Lende",m.,,"Thigh, loin",m.
2,"rēito-, rēiti-","rēito-, rēiti-",lett.,rieta,Bein,f.,,Leg,f. [UNKNOWN]
3,"rēito-, rēiti-","rēito-, rēiti-",ksl.,ritь,podex,,,buttocks,
4,"rēito-, rēiti-","rēito-, rēiti-",čech.,řít́,podex,,,buttocks,
0,"rek̂-, reĝ-","rek̑-, reg̑-",ai.,raśanā,"Strick, Riemen, Gürtel",f.,,"Rope, strap, belt",f. [UNKNOWN]
1,"rek̂-, reĝ-","rek̑-, reg̑-",ai.,raśmi-,"Strang, Riemen, Zügel",m.,,"Rope, strap, reins",m.
2,"rek̂-, reĝ-","rek̑-, reg̑-",aschwed.,hurraka,Heck-Band,(\hurð-\),,Rear band,(\hurð-\) [UNKNOWN]
,,,,,,,,,
4,"rek̂-, reĝ-","rek̑-, reg̑-",aisl.,rakki,Stropp zum Festhalten der Rahe,m.,,Strap for holding the spar,m.
5,"rek̂-, reĝ-","rek̑-, reg̑-",ags.,racca,Stropp zum Festhalten der Rahe,m.,,Strap for holding the spar,m.
6,"rek̂-, reĝ-","rek̑-, reg̑-",aisl.,rekendi,"Kette, Fessel",n.,,"Chain, shackle",n. [UNKNOWN]
7,"rek̂-, reĝ-","rek̑-, reg̑-",aisl.,rekendr,"Kette, Fessel",f. pl.,,"Chain, shackle",feminine plural
8,"rek̂-, reĝ-","rek̑-, reg̑-",ags.,racente,"Kette, Fessel",f.,,"Chain, shackle",f. [UNKNOWN]
9,"rek̂-, reĝ-","rek̑-, reg̑-",ags.,racete,"Kette, Fessel",f.,,"Chain, shackle",f. [UNKNOWN]
10,"rek̂-, reĝ-","rek̑-, reg̑-",ahd.,rahhinza,"Kette, Fessel",f.,,"Chain, shackle",f. [UNKNOWN]
0,rek̂þh-,rek̑þh-,ai.,rákṣas-,"Qual, Quälgeist, Unhold",n.,,"Torment, bully, monster",n. [UNKNOWN]
1,rek̂þh-,rek̑þh-,av.,rašah-,"Schädigung, Schaden, bes. der im andern Leben",,,"Harm, damage, especially in the other life.",
2,rek̂þh-,rek̑þh-,av.,rašayeiti,schädigt,,,damages,
3,rek̂þh-,rek̑þh-,gr.,ἐρέχθω,zerre und beutle hin und her' (der Sturm das Schiff),,,pull and toss back and forth (the storm the ship),
4,rek̂þh-,rek̑þh-,gr.,Ερεχθεύς,der Erderschütterer,,,the Earth shaker,
0,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",mhd.,rumph,Steiß,,,Coccyx,
1,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",nhd.,Rumpf,Steiß,,,Coccyx,
2,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",isl.,rumpr,Steiß,,,Coccyx,
3,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",md.,rump,Rumpf,*abgehacktes Stück',,Hull/Torso,*chopped piece'
4,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",mnd.,rump,Rumpf,*abgehacktes Stück',,Hull/Torso,*chopped piece'
5,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",lit.,rum̃bas,Narbe,,uncertain if baltic and slavic forms connected,Scar,
6,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",lit.,rumbúoti,umsäumen,*r↓↓o↓↓mbo-,uncertain if baltic and slavic forms connected,to border or to line,"*r↓↓o↓↓mbo-"" [UNKNOWN]"
7,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",lit.,rémbėti,Narben bekommen,ablaut.,uncertain if baltic and slavic forms connected,Getting scars,ablaut. [UNKNOWN]
8,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",lett.,rùobs,Kerbe,\*rombo-\,uncertain if baltic and slavic forms connected,Notch,"\*rombo-\"" [UNKNOWN]"
,,,,,,,,,
10,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",serb.,rûb,Saum,slav. \*rǫbъ\,uncertain if baltic and slavic forms connected,Hem,slav. *rǫbъ [UNKNOWN]
11,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",slov.,rǫ̂b,"Kante, Saum",slav. \*rǫbъ\,uncertain if baltic and slavic forms connected,"Edge, hem",slav. *rǫbъ [UNKNOWN]
12,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",slov.,rǫ́biti,"hacken, einsäumen",slav. \*rǫbъ\,uncertain if baltic and slavic forms connected,"chop, hem",slav. *rǫbъ [UNKNOWN]
13,"remb-, romb-, r↓↓o↓↓mb-","remb-, romb-, romb-",čech.,roubiti,"hacken, einsäumen",slav. \*rǫbъ\,uncertain if baltic and slavic forms connected,"chop, hem",slav. *rǫbъ [UNKNOWN]
0,rent-,rent-,ai.,rátnam,"Habe, Besitz, Gut",\*rn̥tnó-\,,"Have, possession, property","*rn̥tnó-"" [UNKNOWN]"
1,rent-,rent-,ir.,rét,Sache,\*rn̥tu-\ oder \*rentu-\,,Thing,\*rn̥tu-\ or \*rentu-\
2,rent-,rent-,lett.,ruotîgs,mit allem versehen,falls aus \*ront-\,,equipped with everything,if from *ront-
0,reus-,reus-,ir.,rúaimm,"betula alnus, alnus glutinosa",\*reus-men\,,"betula alnus, alnus glutinosa",*reus-men [UNKNOWN]
1,reus-,reus-,ahd.,rust,elm (tree),?,,elm (tree),[UNKNOWN]
2,reus-,reus-,mhd.,Rüster,elm (tree),?,,elm (tree),[UNKNOWN]
3,reus-,reus-,nhd.,Rüster,elm (tree),?,,elm (tree),[UNKNOWN]
0,"reuto-, routo-, rut-","reuto-, routo-, rut-",mpers.,rōt,Eingeweide des Rindes,,,Innards of the cattle,
1,"reuto-, routo-, rut-","reuto-, routo-, rut-",npers.,rūda,"Gedärme, Eingeweide",Pl. \rūdag-ānī\; \*reuto-ko-\,,"Intestines, entrails",Pl. \rūdag-ānī\; \*reuto-ko-\ [UNKNOWN]
,,,,,,,,,
3,"reuto-, routo-, rut-","reuto-, routo-, rut-",jav.,"uruϑwarə, -wan-","Eingeweide, Bauch","\*rut-u̯ar-\, \*-u̯an-\",,"Entrails, abdomen",*rut-u̯ar-; *u̯an- [UNKNOWN]
,,,,,,,,,
5,"reuto-, routo-, rut-","reuto-, routo-, rut-",ags.,rēada,Tiermagen,\*routo-\,,Animal stomach,"\*routo-\"" [UNKNOWN]"
6,"reuto-, routo-, rut-","reuto-, routo-, rut-",engl.,read,Labmagen,\*routo-\,,Rumen,"\*routo-\"" [UNKNOWN]"
7,"reuto-, routo-, rut-","reuto-, routo-, rut-",andl.,roode,Blättermagen,\*routo-\,,Rumen,"\*routo-\"" [UNKNOWN]"
8,"reuto-, routo-, rut-","reuto-, routo-, rut-",schwed. dial.,rudda,Labmagen,f.; \*ruddōn-\,,Rumen,"f.; *ruddōn-""; [UNKNOWN]"
0,r̥ksā,r̥ksā,ai.,r̥kṣálā,Fessel,f.; anders über ai. \r̥kṣálā\ oben S. 673,,Shackle,f.; otherwise about ai. \r̥kṣálā\ above p. 673 [UNKNOWN] .
1,r̥ksā,r̥ksā,ai.,r̥cchárā,Fessel,f.,,Shackle,f. [UNKNOWN]
2,r̥ksā,r̥ksā,lit.,rė́ša,Kötengelenk des Pferdes,vielleicht,,Hock joint of the horse,maybe
,,,,,,,,,
0,sā̆lo-,sā̆lo-,illyr.,Salon,FlN,,,AI,
1,sā̆lo-,sā̆lo-,lat.,salum,"unruhiger Seegang, Fluß-Strömung, hohe See",und \salus\ Ennius,,"rough sea, river current, high seas",und \salus\ Ennius
2,sā̆lo-,sā̆lo-,mir.,sal,Meer,also \sā(i)le\ m.,,Sea,also \sā(i)le\ masculine.
3,sā̆lo-,sā̆lo-,gall.,,FlN 'Seille',,,FlN 'Seille',
4,sā̆lo-,sā̆lo-,air.,Sa(i)le,FlN (Schottland),,,RAF (Scotland),
5,sā̆lo-,sā̆lo-,mengl.,Hail,,abrit. \*Salia\ > \*Halia\ >,,,abrit. *Salia > *Halia [UNKNOWN]
6,sā̆lo-,sā̆lo-,hispan.,Salia,,,,,
7,sā̆lo-,sā̆lo-,schweiz,*Salantia,Salence,,,Salence,
8,sā̆lo-,sā̆lo-,apr.,salus,Regenbach,,,Rain stream/rain creek,
9,sā̆lo-,sā̆lo-,lit.,Salantas,FlN,,,AI,
0,sasi̯o-,sasi̯o-,ai.,sasyá-,Feldfrucht,n.,,Field crop,n. [UNKNOWN]
1,sasi̯o-,sasi̯o-,jav.,hahya-,Getreide,,,Cereal,
2,sasi̯o-,sasi̯o-,gall.,(s)asiam,Roggen,Akk.; 'secale Taurini sub Alpibus asiam vocant' Plin. H. N.,,Rye,Akk.; 'secale Taurini sub Alpibus asiam vocant' Plin. H. N. [UNKNOWN]
3,sasi̯o-,sasi̯o-,cymr.,haidd,hordeum,,,barley,
4,sasi̯o-,sasi̯o-,bret.,heiz,orge,,,barley,
5,sasi̯o-,sasi̯o-,ved.,sasá-,"Nahrung, Speise, Kraut, Gras, Saatfeld",,,"Food, meal, herb, grass, crop field",
0,seg-1,1. seg-,lat.,"seges, -etis",Saat,f.,,Seed,f. [UNKNOWN]
,,,,,,,,,
2,seg-1,1. seg-,lat.,Seia,Göttin des Säens,\*segi̯ā\,,Goddess of sowing,*segi̯ā [UNKNOWN]
3,seg-1,1. seg-,acymr.,segeticion,prolis,,,prolix,
4,seg-1,1. seg-,mcymr.,se,Samen,,typo in pokorny online? Says 'Same',seeds,
5,seg-1,1. seg-,mcymr.,he,Samen,,typo in pokorny online? Says 'Same',seeds,
6,seg-1,1. seg-,mcymr.,he-u,Samen,,typo in pokorny online? Says 'Same',seeds,
7,seg-1,1. seg-,ncymr.,hau,säen,,,to sow,
8,seg-1,1. seg-,ncymr.,hauaf,ich säe,,,I sow,
0,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sā́dhati,"kommt zum Ziel, bringt zum Ziel, in Ordnung",,,"reaches the goal, brings to the goal, alright",
1,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sādháyati,"kommt zum Ziel, bringt zum Ziel, in Ordnung",Kausat.,meaning isn't causative,"reaches the goal, brings to the goal, alright",Kausat. [UNKNOWN]
2,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sādhú-,"gerade, tüchtig",,,"straight, capable",
3,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,-sādh-,lenkend,2. Kompositionsglied,,steering,2nd compositional element
4,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",jav.,-hād-,lenkend,,,steering,
5,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,hādrōyā-,Verlangen nach Erreichung des Zieles,"f. (von \*hādra-\ m., idg. \*sēdh-ro-\ 'Erreichung des Zieles')",,Desire to achieve the goal,"f. (from *hādra- m., idg. *sēdh-ro- 'achievement of the goal')"
6,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sidhrá-,erfolgreich,schwundstuf.,,successful,schwundstuf. [UNKNOWN]
7,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sídhyati,kommt zum Ziel,,,comes to the goal,
8,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,siddhá-,"to aim at, strive for",Partiz.,,"to aim at, strive for",Partisan.
9,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,siṣḗdha-,"to aim at, strive for",Perf.,,"to aim at, strive for",Perf. [UNKNOWN]
10,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",av.,āsna,erfolgreich,(\*ā-zdh-na-\),,successful,(\*ā-zdh-na-\) [UNKNOWN]
11,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sadh-nōti,succeed,Ablautneubildung,a = long?,succeed,ablaut formation
12,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",ai.,sádhis-,"Ort, Ziel",,,"Location, destination",
13,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",gr.,ἰ̄θύς,"gerade (auf ein Ziel gerichtet), Adv. geradeaus",\*sīdhus\,,"straight (directed toward a goal), Adv. straight ahead","\*sīdhus\"" [UNKNOWN]"
14,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",gr.,"ἰθύς, -ύος","Angriff, Unternehmung",,,"Attack, undertaking",
15,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",gr.,ἰθύω,dringe vor,,,push forward,
16,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",gr.,ἰ̄θύ̄νω,mache gerade,,,am currently doing,
17,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",gr.,εἶθαρ,sogleich,,,immediately,
18,sē[i]dh- : sīdh- und : sədh-,"sē[i]dh- : sī̆dh-, and sədh-",gr.,εὐθύς,gerade,(aus *εἰθύς),,straight/just,from *εἰθύς
0,sek-1,1. sek-,ai.,á-sak-ra-,nicht versiegend,,,not ceasing,
1,sek-1,1. sek-,ai.,a-sa-śc-át,nicht versiegend,reduplicated,,not ceasing,reduplicated
2,sek-1,1. sek-,ai.,víṣaktā,eine nicht Milch gebende (versiegte) Kuh,,,a non-milk producing (dried up) cow,
3,sek-1,1. sek-,hom. gr.,ἔσκετο φωνή,"stockte, versiegte","*ἔσκετo, \*se-sk-eto\, redupl. Aor.",,"stalled, dried up","*ἔσκετo, \*se-sk-eto\, redupl. Aor. [UNKNOWN]"
4,sek-1,1. sek-,lit.,senkù,fallen (vom Wasserstand),sekundär nasaliert,,to fall (from the water level),secondarily nasalized
5,sek-1,1. sek-,lit.,sèkti,fallen (vom Wasserstand),,,to fall (from the water level),
6,sek-1,1. sek-,lit.,nusèkti,"abfließen, trocken werden",,,"drain, become dry",
7,sek-1,1. sek-,lit.,seklùs,seicht,,,shallow,
8,sek-1,1. sek-,lit.,seklė̃,"seichte Stelle, Sandbank",,,"shallow spot, sandbank",
9,sek-1,1. sek-,lit.,sẽkis,"seichte Stelle, Sandbank",,,"shallow spot, sandbank",
10,sek-1,1. sek-,lett.,sekls,seicht,,,shallow,
11,sek-1,1. sek-,lett.,sīku,versiegen,"\*sinku\, darnach \sikt\",,to dry up,"*sinku\, then \sikt\"
,,,,,,,,,
13,sek-1,1. sek-,lit.,"sunk-iù, suñkti",absickern lassen,mit balt. un aus \↓↓o↓↓n\ das Kaus.,,let it permeate/drain,with baltic. un aus \↓↓o↓↓n\ the Kaus. [UNKNOWN]
,,,,,,,,,
15,sek-1,1. sek-,lett.,sùcu,durchseihe,,,strain through,
16,sek-1,1. sek-,lett.,sùkt,durchseihe,,,strain through,
17,sek-1,1. sek-,lett.,sũkât,durchseihe,Iter.,,strain through,Iter. [UNKNOWN]
18,sek-1,1. sek-,ostlit.,sunkà,Saft,,,Juice,
19,sek-1,1. sek-,aksl.,i-sęknǫti,versiegen (vom Wasser),,,to dry up (from water),
20,sek-1,1. sek-,aksl.,prě-sęknǫti,abnehmen,,,to lose weight,
21,sek-1,1. sek-,av.,hišku-,trocken,"Redupl. \si-sk-us\ 'trocken (= versiegt)' (auch \hiškva-\), fem. \hiškvī\",,dry,"Redupl. \si-sk-us\ 'dry (= dried up)' (also \hiškva-\), fem. \hiškvī\"
22,sek-1,1. sek-,mir.,sesc,"trocken, unfruchtbar",,,"dry, barren",
23,sek-1,1. sek-,cymr.,hysb,"trocken, unfruchtbar",,,"dry, barren",
24,sek-1,1. sek-,bret.,hesp,trocken,\*sisku̯o-\,,dry,*sisku̯o- [UNKNOWN]
25,sek-1,1. sek-,air.,sescenn,"Sumpf, Moor",unfruchtbar'; vgl. aisl. \saurr\ 'Moor': ags. \sēar\ 'trocken',,"Swamp, bog",unfruchtbar'; compare with Old Norse \saurr\ 'bog': Old English \sēar\ 'dry'
26,sek-1,1. sek-,bret.,hesk,"trocken, unfruchtbar",,,"dry, barren",
27,sek-1,1. sek-,bret.,hesken,"trocken, unfruchtbar, von einer Kuh ohne Kalb und Milch",,,"dry, infertile, from a cow without calf and milk",
28,sek-1,1. sek-,bret.,heska,tarir,,,dwindle,
29,sek-1,1. sek-,bret.,hesquein,tarir,neben \hespein\,,dwindle,neben \hespein\ [UNKNOWN]
30,sek-1,1. sek-,corn.,beuch heskyz,a dry cow,,,a dry cow,
31,sek-1,1. sek-,bret.,hañvesk,"von einer Kuh, die in dem Jahre kein Kalb gehabt hat","adj.; \= mir. \samaisc\; \*samo-sisku̯ī\ 'die Sommertrockne', die auf dem fem. \*sisku̯ī\, Gen. \*sisku̯i̯ās\ beruhen und vor dem \i̯\ den Kasus obl. \u̯\ eingebüßt haben",,of a cow that did not have a calf that year,"adj.; \= mir. \samaisc\; \*samo-sisku̯ī\ 'the summer drought', which is based on the feminine \*sisku̯ī\, Gen. \*sisku̯i̯ās\ and has lost the obl. \u̯\ case before the \i̯\"
,sek-1,1. sek-,mir.,samaisc,"junge Kuh, zweĳährige Färse","adj.; \= bret. \hañvesk\; \*samo-sisku̯ī\ 'die Sommertrockne', die auf dem fem. \*sisku̯ī\, Gen. \*sisku̯i̯ās\ beruhen und vor dem \i̯\ den Kasus obl. \u̯\ eingebüßt haben",,"young cow, two-year-old heifer","adj.; \= Bret. \hañvesk\; \*samo-sisku̯ī\ 'the summer drought', which is based on the feminine \*sisku̯ī\, Gen. \*sisku̯i̯ās\ and has lost the obl. case \u̯\ in front of \i̯\"
32,sek-1,1. sek-,gr.,ἰσχνός,"dürr, verschrumpft, schmächtig",unklar ist,,"thin, shriveled, frail",unclear is
0,sel-5,5. sel-,ai.,tsárati,"schleicht, schleicht heran, beschleicht",mit Präfix \[a]d\-,,"creep, creep closer, sneaking up",with prefix [a]d-
,sel-5,5. sel-,ai.,tsáru,schleichendes Tier,m.,,creeping animal,m.
1,sel-5,5. sel-,av.,"srvant-, sravant-","schleichend, anschleichend","Part. von ar. \*tsr-au-\, \u\-Erw. bzw. \u\-Präs.",,"creeping, sneaking","Part. from ar. *tsr-au-, \u-Erw. or \u-Präs."
2,sel-5,5. sel-,arm.,solim,"serpo, repo, delabor, trahor","Aor. \solec̣ay\, \*t-sol-\ mit Wandel von \ts-\ zu \s-\?",,"I creep, I crawl, I toil, I drag","Aor. \solec̣ay\, \*t-sol-\ with change from \ts-\ to \s-\?"
