,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
5,klēp-,klēp-,ahd.,halftra,Halfter,,,Halter,
6,klēp-,klēp-,lit.,kìlpa,"Schlinge, Steighügel",Persson; s. unter _skel-_ 'spalten',,"Noose, climbing hill",Persson; see under _skel-_ 'split'
0,k̂lou-ni-,k̑lou-ni-,ai.,śrōṇi-,"Hinterbacke, Hüfte",m. f.,,"Buttock, hip",male and female
1,k̂lou-ni-,k̑lou-ni-,av.,sraoni-,"Hinterbacke, Hüfte",f.,,"Buttock, hip",f. [UNKNOWN]
2,k̂lou-ni-,k̑lou-ni-,lat.,clūnis,"Hinterbacke, Hinterkeule, Steiß bei Menschen und Tieren",,,"Buttocks, hind leg, tailbone in humans and animals.",
3,k̂lou-ni-,k̑lou-ni-,lat.,clunāculum,"kleines Schwert oder Dolch, das man hinten trug",,,little sword or dagger that one carried on the back,
4,k̂lou-ni-,k̑lou-ni-,cymr.,clun,Hüfte,f.,,Hip,f. [UNKNOWN]
,k̂lou-ni-,k̑lou-ni-,corn.,clun,Hüfte,f.,,Hip,f. [UNKNOWN]
5,k̂lou-ni-,k̑lou-ni-,bret.,klun,Hinterbacke,,,Cheek,
6,k̂lou-ni-,k̑lou-ni-,aisl.,hlaun,Hinterbacke,n.,,Cheek,n. [UNKNOWN]
7,k̂lou-ni-,k̑lou-ni-,lit.,šlaunìs,"Hüfte, Oberschenkel, Deichselarm",,,"Hip, thigh, handlebar arm.",
8,k̂lou-ni-,k̑lou-ni-,lett.,slauna,Hüfte,,,Hip,
9,k̂lou-ni-,k̑lou-ni-,apr.,slaunis,Oberschenkel,,,Thigh,
10,k̂lou-ni-,k̑lou-ni-,gr.,"κλόνις, -ιος",Steißbein,"Die Lautform von gr. κλόνις, -ιος 'Steißbein' ist noch unerklärt.",,Coccyx,"The sound form of gr. κλόνις, -ιος 'coccyx' is still unexplained."
0,kneug-,kneug-,gr.,κνυζᾆν,"knurren (von Hunden), wimmern (von Kindern)",,,"growl (of dogs), whimper (of children)",
1,kneug-,kneug-,gr.,κνυζεῖν,"knurren (von Hunden), wimmern (von Kindern)",,,"growl (of dogs), whimper (of children)",
2,kneug-,kneug-,lit.,kniaũkti,miauen,Wohl nur zufällige Ähnlichkeit.,General note: Wohl nur zufällige Ähnlichkeit.,meow,Probably just a random similarity.
0,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",arm.,anic,Laus,\*nid-s\,,Louse,"\*nid-s\"" [UNKNOWN]"
1,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",alb.,thënī́,Laus,\*k̂(ë)nid-\,,Louse,\*k̂(ë)nid- [UNKNOWN]
2,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",gr.,"κονίς, -ίδος",wohl an κόνις 'Staub' angeglichen,f; \*knid-s\,,likely adapted to κόνις 'dust',"f; *knid-s"" [UNKNOWN]"
3,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",mir.,sned,Nisse,\*s(k)nidā\,,Elf,"\*s(k)nidā\"" [UNKNOWN]"
4,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",kymr.,nedd,Nisse,Pl; \*s(k)nidā\,,Elf,"Pl; \*s(k)nidā\"" [UNKNOWN]"
5,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",nkorn.,neð,Nisse,\*s(k)nidā\,,Elf,"\*s(k)nidā\"" [UNKNOWN]"
6,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",bret.,nez,Nisse,\*s(k)nidā\,,Elf,"\*s(k)nidā\"" [UNKNOWN]"
7,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",ags.,hnitu,Ei der Laus,\*knidā\,,"Oh, the louse",*\knidā\ [UNKNOWN]*
8,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",ahd.,(h)niz,ds.,\*knidā\,,etc.,*\knidā\ [UNKNOWN]*
9,"knid-, k̂nid-, sknid-","knid-, k̑nid-, sknid-",nhd.,Nisse,Ei der Laus,\*knidā\,"General note: ""Könnte zu (s)ken- `kratzen' gehören, wie ghnīdā zu ghen- ds.""","Oh, the louse",*\knidā\ [UNKNOWN]*
0,"koi-, ku̯ī-","koi-, ku̯ī-",gr.,κοΐζειν,quieken wie ein Spanferkel,,,squeal like a pig,
1,"koi-, ku̯ī-","koi-, ku̯ī-",nhd.,quieken,quieken,,,squeak,
2,"koi-, ku̯ī-","koi-, ku̯ī-",nhd.,quieksen,quieksen,,,squeak,
3,"koi-, ku̯ī-","koi-, ku̯ī-",nhd.,quietschen,quietschen,,,squeak,
4,"koi-, ku̯ī-","koi-, ku̯ī-",lit.,kvỹkti,"quieken, zwitschern, winseln",,,"squeak, chirp, whimper",
5,"koi-, ku̯ī-","koi-, ku̯ī-",russ.,kvičátь,"quieken, zwitschern, winseln",,,"squeak, chirp, whimper",
0,koi-lo-,koi-lo-,air.,cōil,"dünn, schmal",,,"thin, narrow",
1,koi-lo-,koi-lo-,air.,cōel,"dünn, schmal",,,"thin, narrow",
2,koi-lo-,koi-lo-,cymr.,cul,"macilentus, macer",,,"emaciated, lean",
3,koi-lo-,koi-lo-,lett.,kaîls,"nackt, kahl, bloß",,,"naked, bare, exposed",
4,koi-lo-,koi-lo-,lett.,kaîli ĺaudis,Ehepaar ohne Kinder,könnte auch zu __kai-__ 'allein' gehören,,Married couple without children,könnt also auch zu __kai-__ 'allein' gehören
,,,,,,,,,
0,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",gr.,κακκάβη ,Rebhuhn,f.,lol,Partridge,f. [UNKNOWN]
1,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",gr.,κακκαβίς,Rebhuhn,f.,,Partridge,f. [UNKNOWN]
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",gr.,κακκαβίζειν,vom Naturlaut der Rebhühner,ebenso das entlehnte lat. \cacabāre\,,from the natural sound of partridges,as well as the borrowed Latin \cacabāre\
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",gr.,κακκάζειν `gackern',gackern,,,cackle,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",lat.,cacillāre,gackern (von der Henne),,,clucking (by the hen),
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",ndd.,kakkeln,gackern,,,cackle,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",nl.,kokkelen,kollern (vom Hahn),,,cluck (from the rooster),
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",ahd.,gackizōn,gackern (von der ein Ei legenden Henne),,,cackling (from the egg-laying hen),
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",nhd.,gackern,gackern,,,cackle,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",nhd. dial.,gaggezen,gackern,,,cackle,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",nhd.,Gockel,Gockel,s. auch unter ghegh-,,Rooster,s. auch unter ghegh-
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",Lat.,coco coco,Naturlaut der Hühner,"Petron 59, 2",,Natural sound of chickens,"Petron 59, 2 [UNKNOWN]"
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",franz.,coq,Hahn,,,Rooster,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",dän.,kok,Hahn,,,Rooster,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",schwed. mdartl.,kokk,Hahn,,,Rooster,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",anord.,kokr,Hahn,afrz. Lw.,,Rooster,afrz. Lw. [UNKNOWN]
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",ags.,cocc,Hahn,,,Rooster,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",nl.,cocke,Hahn,alt,,Rooster,old
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",aksl.,kokotъ,Hahn,,,Rooster,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",aksl.,kokošъ,Henne,,,Hen,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",russ.,kokotátь ,gackern,,,cackle,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",Ai.,"kurkuṭa-, kukkuṭa-",Hahn,m.,,Rooster,m.
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",Ai.,kukkubha-,Fasan,m. (mind. für *kurkubha-),,Pheasant,m. (at least for *kurkubha-)
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",lat.,"cūcurriō, -īre ",`kollern' (vom Hahn),,,"cooing"" (from the rooster)",
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",lat.,cūcuru,Interjektion,,,Interjection,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",nhd.,kikeriki,kikeriki,"(älter \kükerukü\, \kükerlüküh\)",,cock-a-doodle-doo,"(older \kükerukü\, \kükerlüküh\)"
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",md.,"kuckern, kockern, köcken",krähen,,,caw,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",lit.,kakarýkū,kikeriki,,,cock-a-doodle-doo,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",serb.,"kukùrĳečēm-, -ĳèkati",krähen,,,caw,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",klruss.,kukuríku,kikeriki,,,cock-a-doodle-doo,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",russ.,kukorékatь,krähen,,,caw,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",gr.,κουρίζω,krähen,,,caw,
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",gr.,"κίκιρρος, κικκός",Hahn,Hes.,,Rooster,Hes. [UNKNOWN]
,"ko ko, kak(k)-, ku(r)kur-","ko ko, kak(k)-, ku(r)kur-",osk.,cicirrus,PN,"Cognomen des Messius, wohl `Kampfhahn'",,Private message,"Surname of Messius, probably ""fighting cock"
0,k̂op(h)elo-s oder k̂ap(h)elo-s,"k̑op(h)elo-s, or k̑ap(h)elo-s",ai.,śaphara-,Cyprinus sophore,,,Cyprinus sophore,
1,k̂op(h)elo-s oder k̂ap(h)elo-s,"k̑op(h)elo-s, or k̑ap(h)elo-s",lit.,šãpalas,Cyprinus dobula,,,Cyprinus dobula,
2,k̂op(h)elo-s oder k̂ap(h)elo-s,"k̑op(h)elo-s, or k̑ap(h)elo-s",gr.,κυπρῖνος,Karpfen,"vielleicht nach κεστρῖνος, κοxρακῖνος, ἐρυθρῖνος usw. umgebildet; υ- eventuell volksetymologisch nach Κύπρος, da *κοπρῖνος an κόπρος denken ließe.",,Carp,"perhaps reshaped after κεστρῖνος, κοxρακῖνος, ἐρυθρῖνος etc.; υ- possibly folk-etymologically after Κύπρος, since *κοπρῖνος would suggest thinking of κόπρος."
0,kopso-,kopso-,gr.,κόψ-ιχος,Amsel,,,Blackbird,
1,kopso-,kopso-,gr.,κόσσυ-φος,Amsel,diss. aus *κοψ-υφος,,Blackbird,diss. from *κοψ-υφος
2,kopso-,kopso-,russ.,kosъ,Amsel,"Meillet legt (MSL 18, 171) unter Annahme von idg. \k̂-\ (das in kos wegen des folgenden \s\ als \k\ festgehalten sei)",,Blackbird,"Meillet assumes (MSL 18, 171) based on the assumption of idg. \k̂-\ (which is held as \k\ in kos due to the following \s\)."
,,,,,,,,,
4,kopso-,kopso-,ksl.,sopǫ,spiele die Flöte,eine Schallwurzel \k̂op-\ zugrunde,,play the flute,a root *k̂op- underlying
5,kopso-,kopso-,abg.,sopьcь,αὐλητής,eine Schallwurzel \k̂op-\ zugrunde,,aulētēs,a root *k̂op- underlying
6,kopso-,kopso-,russ.,sopětь,keuchen,eine Schallwurzel \k̂op-\ zugrunde,,panting,a root *k̂op- underlying
7,kopso-,kopso-,ai.,śáb-d-a,"Laut, Schall, Rede, Wort","zum \-d-\ Suffix in Worten für Lärm s. Brugmann II^^2^^ 1, 467",,"Loud, sound, speech, word","for the -d- suffix in words for noise see Brugmann II^^2^^, 1, 467"
8,kopso-,kopso-,ai.,śápati,verflucht,,,cursed,
9,kopso-,kopso-,ai.,śápatē,"beteuert, gelobt",,,"assured, praised",
0,"k̂orkā (k̂rokā?), -↓↓e↓↓lā",k̑orkā,ai.,śárkarā,"Gries, Kies, Geröll, Sandzucker",,,"Grit, gravel, rubble, sand sugar",
1,"k̂orkā (k̂rokā?), -↓↓e↓↓lā",k̑orkā,ai.,śarkara-ḥ,"Gries, Kies, Geröll, Sandzucker",,,"Grit, gravel, rubble, sand sugar",
2,"k̂orkā (k̂rokā?), -↓↓e↓↓lā",k̑orkā,gr.,κρόκη,Kieselstein,vielleicht hat ein *κορκάλα : \śarkarā\ erst nach κρέκω 'schlage' Umstellung zu κροκάλη erfahren.,,Pebble,vielleicht hat ein *κορκάλα : \śarkarā\ erst nach κρέκω 'schlage' Umstellung zu κροκάλη erfahren.
3,"k̂orkā (k̂rokā?), -↓↓e↓↓lā",k̑orkā,gr.,κροκάλη,Kieselstein,vielleicht hat ein *κορκάλα : \śarkarā\ erst nach κρέκω 'schlage' Umstellung zu κροκάλη erfahren.,,Pebble,vielleicht hat ein *κορκάλα : \śarkarā\ erst nach κρέκω 'schlage' Umstellung zu κροκάλη erfahren.
0,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",mhd.,hurmen,düngen,ursprüngl. wohl mit Jauche,,fertilize,originally probably with manure
1,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",nhd.,harn,Harn,,,Urine,
2,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",nhd.,harm,Harn,,,Urine,
3,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",ahd.,haran,Harn,,,Urine,
4,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",lit.,šármas,Aschenlauge,,,Lye water made from ashes,
5,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",lett.,sãrms,Lauge,,,Lye,
6,"k̂ormno-, k̂r̥mno-","k̑ormno-, k̑r̥mno-",apr.,sirmes,Lauge,"mit der Ablautstufe von mhd. \hurmen\, für \*sirmis\",,Lye,"with the ablaut stage of Middle High German \hurmen\, for \*sirmis\"
0,"k̂rebh-, k̂rō̆bh-, k̂rembh-","k̑rebh-, k̑rō̆bh-, k̑rembh-",ai.,śrambhatē,"vertrauen, sich worauf verlassen",,,"trust, rely on something",
1,"k̂rebh-, k̂rō̆bh-, k̂rembh-","k̑rebh-, k̑rō̆bh-, k̑rembh-",ai.,śrabdha-,"vertrauen, sich worauf verlassen",mit vi- und andern Präp.,,"trust, rely on something",with vi- and other prepositions.
2,"k̂rebh-, k̂rō̆bh-, k̂rembh-","k̑rebh-, k̑rō̆bh-, k̑rembh-",ai.,niśr̥mbhá-,sicher auftretend,,,confident appearing,
3,"k̂rebh-, k̂rō̆bh-, k̂rembh-","k̑rebh-, k̑rō̆bh-, k̑rembh-",air.,crābud,"Frömmigkeit, Askese",\*k̂rōbhitu-s\; m.,,"Piety, Asceticism",\*k̂rōbhitu-s\; masculine.
4,"k̂rebh-, k̂rō̆bh-, k̂rembh-","k̑rebh-, k̑rō̆bh-, k̑rembh-",cymr.,crefydd,Glaube,jünger \crefydd\ hat sein \e\ von \credu\ 'glauben' bezogen.,,Belief,jünger derived its \e\ from \credu\ 'believe'.
,,,,,,,,,
0,kreg-1 (und kerg-?),"1. kreg-, and kerg-?",ai.,kárjati,"quält, peinigt",Dhātup.,,"torments, tortures",Dhātup. [UNKNOWN]
1,kreg-1 (und kerg-?),"1. kreg-, and kerg-?",aisl.,hrekja,"quälen, belästigen, verfolgen",,,"torture, harass, stalk",
2,kreg-1 (und kerg-?),"1. kreg-, and kerg-?",afries.,hreka,reißen,,,tear,
0,krē̆k-4 : krok-,4. krē̆k- : krok-,gr.,κρόσσαι,"Mauerzinnen, Absätze, stufenartig an der Mauer hinaufgeführte Steine'",\*kroki̯ā\,,"Battlements, ledges, stones led up the wall in a step-like manner.",\*kroki̯ā\ [UNKNOWN]
1,krē̆k-4 : krok-,4. krē̆k- : krok-,gr.,κροσσοί,"hervorragende Einschlagfäden, Verbrämung'",als `vorspringender Faden',,"excellent weft threads, edging",as 'protruding thread'
2,krē̆k-4 : krok-,4. krē̆k- : krok-,air.,crích,"Ende, Grenze, Furche'",f.; \*krēku̯ā\,,"End, boundary, furrow",f.; \*krēku̯ā\ [UNKNOWN]
3,krē̆k-4 : krok-,4. krē̆k- : krok-,cymr.,crib,"Kamm, Spitze, Gipfel'",,,"Comb, tip, summit'",
4,krē̆k-4 : krok-,4. krē̆k- : krok-,ahd.,*hragēn,"to tower, jut out; beams'",,,"to tower, jut out; beams",
5,krē̆k-4 : krok-,4. krē̆k- : krok-,mhd.,ragen,"to tower, jut out; beams'",,,"to tower, jut out; beams",
6,krē̆k-4 : krok-,4. krē̆k- : krok-,nhd.,ragen,"to tower, jut out; beams'",,,"to tower, jut out; beams",
7,krē̆k-4 : krok-,4. krē̆k- : krok-,mhd.,rac,steif',,,stiff,
8,krē̆k-4 : krok-,4. krē̆k- : krok-,ahd.,*hrāhi,"starr, steif'",zu /ræhe/,,"rigid, stiff",to /ræhe/
9,krē̆k-4 : krok-,4. krē̆k- : krok-,mhd.,regen,"ragen machen, aufrichten'",,,"stick out, straighten up",
10,krē̆k-4 : krok-,4. krē̆k- : krok-,nhd.,regen,"ragen machen, aufrichten'",,,"stick out, straighten up",
11,krē̆k-4 : krok-,4. krē̆k- : krok-,ags.,ofer-hrǣgan,überragen',,,to tower over,
12,krē̆k-4 : krok-,4. krē̆k- : krok-,lit.,krãkė,Stock',,,Stock,
13,krē̆k-4 : krok-,4. krē̆k- : krok-,žem.,krãkė,Stock',,,Stock,
,,,,,,,,,
15,krē̆k-4 : krok-,4. krē̆k- : krok-,russ.,krókva,Stange; Knebel; Dachsparren',"Slav. \*kroky\, Gen. \-ъve\",,Rod; toggle; roof rafters,"Slav. *kroky, Gen. -ъve [UNKNOWN]"
16,krē̆k-4 : krok-,4. krē̆k- : krok-,čech.,krokva,"Sparren, Dachsparren'","alt \krokev\, Gen. \krokve\ (Berneker 621); Slav. /*kroky/, Gen. /-ъve/",,"Rafters, roof rafters","alt \krokev\, Gen. \krokve\ (Berneker 621); Slav. /*kroky/, Gen. /-ъve/ [UNKNOWN]"
0,krēp-1,1. krēp-,aisl.,hrǣfa,ertragen,,,to endure/ to bear,
1,krēp-1,1. krēp-,russ.,krěpitьsja,"ausdauern, beharren",,,"perseverance, persistence",
2,krēp-1,1. krēp-,abg.,krěpъ,"fest, stark",,,"sturdy, strong",
3,krēp-1,1. krēp-,abg.,krěpъkъ,"fest, stark",,,"sturdy, strong",
4,krēp-1,1. krēp-,cymr.,craff,schnell,"aus aisl. krappr ds. (= krappr 'eng', S. 388)",,fast/quick,"from Old Norse krappr ds. (= krappr 'tight', p. 388)"
5,krēp-1,1. krēp-,aisl.,krappr,eng,siehe S. 388,,eng,see page 388
0,kreu-2,2. kreu-,aisl.,hrun,Zusammenbruch,n.,,Collapse,n. [UNKNOWN]
1,kreu-2,2. kreu-,aisl.,hrynia,fallen,,,to fall,
2,kreu-2,2. kreu-,apr.,krūt,fallen,"aber lett. \kruts\ `steil abfallend, steil abhängend' als Lw. zu klr. \krutoj\ `gewunden, steil, schroff', s. unter _kert-_ `drehen'",,to fall,"but Lettish \kruts\ 'steil abfallend, steil abhängend' as a loanword from Old Karelian \krutoj\ 'gewunden, steil, schroff', see under _kert-_ 'to turn'"
3,kreu-2,2. kreu-,apr.,kruwis,Fall,,,Case,
,,,,,,,,,
,,,,,,,,,
6,kreu-2,2. kreu-,lett.,kràulis,Absturz,vielleicht,vielleicht,Crash,maybe
7,kreu-2,2. kreu-,lett.,kràuja,steiles Ufer,,,steep bank,
8,kreu-2,2. kreu-,lett.,krauta,Ufer,,,Shore,
9,kreu-2,2. kreu-,ags.,hrēosan,stürzen,mit \-s-\,,to fall,with \-s-\
10,kreu-2,2. kreu-,aisl.,hrjōta,"stürzen, springen",mit \-d-\,,"fall, jump",with \-d-\
11,kreu-2,2. kreu-,mhd.,rūzen,sich eilig bewegen,mit \-d-\,,to move hurriedly,with \-d-\
12,kreu-2,2. kreu-,ags.,hrīðig,schneebedeckt,mit \-t-\,,snow-covered,"with \-t-\"" [UNKNOWN]"
13,kreu-2,2. kreu-,aisl.,hroði,Abfall,mit \-t-\,,Waste,"with \-t-\"" [UNKNOWN]"
14,kreu-2,2. kreu-,aisl.,hrȳðr,es bricht hervor,"mit \-t-\, von Dampf, Feuer u. dgl",,it breaks forth,"with \-t-\, of steam, fire, etc."
15,kreu-2,2. kreu-,aisl.,hryðja,"naßkaltes Wetter, Regen und Schnee",mit \-t-\,,"wet-cold weather, rain and snow","with \-t-\"" [UNKNOWN]"
0,kreup-,kreup-,gall.,cruppellarii,gepanzerte Gladiatoren der Aedui,,,armored gladiators of the Aedui,
1,kreup-,kreup-,brit.,Mons Graupius,ON,"leg. *Croupios, wegen des idg. p veneto-illyr. Herkunft (Pokorny Urillyr. 131)",,ON,"leg. *Croupios, because of the Indo-European Veneto-Illyrian origin (Pokorny Urillyr. 131)"
2,kreup-,kreup-,aisl.,hrjūfr,"rauh, schorfig",,,"rough, scabby",
3,kreup-,kreup-,aisl.,hrȳfe,Schorf,,,Scab,
4,kreup-,kreup-,aisl.,hrūfa,Wundrinde,,,Callus,
5,kreup-,kreup-,ags.,hrēof,"rauh, schorfig, aussätzig",,,"rough, scabby, leprous",
6,kreup-,kreup-,ahd.,riob,aussätzig,,,leprous,
7,kreup-,kreup-,ahd.,hriupī,scabies,,,scabies,
8,kreup-,kreup-,ahd.,(h)ruf,"Blatter, Schorf, Grind, Aussatz",Pl. \hruvi\,,"Blister, scab, impetigo, leprosy",Pl. \hruvi\ [UNKNOWN]
9,kreup-,kreup-,mhd.,ruf,"Blatter, Schorf, Grind, Aussatz",,,"Blister, scab, impetigo, leprosy",
10,kreup-,kreup-,nhd.,ruff,Kruste auf rasch getrocknetem Erdreich,bair.,,Crust on quickly dried soil.,bair. [UNKNOWN]
11,kreup-,kreup-,nhd.,"rüfe, riefe","Aussatz, Schorf",,,"Leprosy, Scab",
12,kreup-,kreup-,ahd.,ge-rob,grob,,,rough,
13,kreup-,kreup-,nhd.,grob,grob,,,rough,
14,kreup-,kreup-,lit.,su-si-kraũpti,zusammenschauern,,,shudder together,
15,kreup-,kreup-,lit.,nu-krùpęs,schorfig,,,scabby,
16,kreup-,kreup-,lit.,kraupùs,rauh,,,rough,
17,kreup-,kreup-,lett.,kŕaũpa,"Grind, Warze",,,"Grind, wart",
18,kreup-,kreup-,lett.,kŕaũpis,Grind; Kröte,von der warzigen Haut; apr. \crupeyle\ 'Frosch',,Grind; Toad,from the warty skin; apr. \crupeyle\ 'frog'
19,kreup-,kreup-,lett.,kŕū̀pu,verschrumpfen,,,shrink,
20,kreup-,kreup-,lett.,kŕupu,verschrumpfen,,,shrink,
21,kreup-,kreup-,lett.,kŕupt,verschrumpfen,,,shrink,
22,kreup-,kreup-,lett.,krupis,"Kröte, Zwerg",,,"Toad, dwarf",
23,kreup-,kreup-,lit.,pakraũpti,"schaudern, erschrecken",vom Rauhwerden der Haut ('Gänsehaut'),,"shudder, frighten",from the roughening of the skin ('goosebumps')
24,kreup-,kreup-,lit.,kruptis,"schaudern, erschrecken",vom Rauhwerden der Haut ('Gänsehaut'),,"shudder, frighten",from the roughening of the skin ('goosebumps')
25,kreup-,kreup-,russ.,krúpnyj,grobkörnig; groß,"Against this, Russian \krúpnyj\ meaning 'coarse-grained; large,' Czech \krupý\ meaning 'rudis' is initially related to Old Bulgarian \krupa\ meaning 'lump, particle,' and so on. (From this comes the related Albanian \krip(ë)\, \krüp\, meaning 'salt' (\*krūpā\)). This group probably originally means 'broken off' or something similar, related to __kreu-3__, __krou-s-__ meaning 'to break, to push,' see there.",,coarse-grained; large,"\krúpnyj\ means 'coarse-grained; large,' \krupý\ means 'rudis,' Old Bulgarian \krupa\ means 'lump, particle,' \krip(ë)\ and \krüp\ in Albanian mean 'salt' (\*krūpā\), this group probably originally means 'broken off' or something similar, related to __kreu-3__, __krou-s-__ meaning 'to break, to push,' see there."
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,krom-,krom-,aisl.,hremma,"fassen, klemmen",,,"grip, clamp",
1,krom-,krom-,ags.,hremman,"einengen, behindern",wohl aus '*einzäunen',,"restrict, hinder",probably from '*einzäunen'
2,krom-,krom-,afries.,hrembend,Fessel,,,Shackle,
3,krom-,krom-,ndl.,remmen,"(ein Rad) hemmen, sperren",*mit einem Balken',,"(to) brake, lock (a wheel)",*with a beam'
4,krom-,krom-,aisl.,hrefni,unterste Planke überm Schiffsboden,vermutlich,vermutlich,bottom plank above the ship's floor,presumably
5,krom-,krom-,got.,hramjan,kreuzigen,als 'an ein Gestell heften',vermutlich,crucify,as 'attach to a frame'
6,krom-,krom-,russ.,krómy,Webstuhl,Pl.,,Loom,Plural
7,krom-,krom-,russ.,zakromítь,mit Brettern umstellen,,,to rearrange with boards,
8,krom-,krom-,klr.,prykromýty,bändigen,,,to tame/ control/ restrain,
9,krom-,krom-,russ.,s-krómnyj,bescheiden,,,modest/humble,
0,"kr(o)k-sko-, -u-",kr(o)k-sko-,ai.,kiṣku-,Vorderarm; Stiel einer Axt; ein Längenmaß,mind. für \*kr̥sku-\,,Forearm; handle of an axe; a unit of length,presumably for *kr̥sku-
1,"kr(o)k-sko-, -u-",kr(o)k-sko-,alb.,krakë,"Oberarm, Schulter, Flügel",\*krok-sko-\?,,"Upper arm, shoulder, wing",\*krok-sko-\? [UNKNOWN]
2,"kr(o)k-sko-, -u-",kr(o)k-sko-,lit.,kárka,"Schweinefuß, Vorderbein des Schweines",,wahrscheinlich,"Pig's foot, front leg of the pig",
3,"kr(o)k-sko-, -u-",kr(o)k-sko-,lit.,kirkãlis,Stelze,ablaut.,wahrscheinlich,Leg,ablaut. [UNKNOWN]
,,,,,,,,,
5,"kr(o)k-sko-, -u-",kr(o)k-sko-,slav.,"kráka, kráča",Schweinefuß,slav. \*korka\,,Pig's foot,slav. *korka
,,,,,,,,,
7,"kr(o)k-sko-, -u-",kr(o)k-sko-,bulg.,krak,"Bein, Fuß",slav. \*korkъ\,,"Leg, Foot",slav. *korkъ [UNKNOWN]
8,"kr(o)k-sko-, -u-",kr(o)k-sko-,russ.,ókorok,Schinken,slav. \*korkъ\,,Ham,slav. *korkъ [UNKNOWN]
9,"kr(o)k-sko-, -u-",kr(o)k-sko-,skr.,krôk,Schritt,slav. \*krokъ\; Gen. \krȍka\,,Step,slav. *krokъ; Gen. \krȍka\ [UNKNOWN]
