,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
16,9. kel-,ahd.,huolen,betrügen,,,to deceive/to cheat/to betray,
17,9. kel-,gr. att.,κόλαξ,Schmeichler,"Sollte Perssons (Beitr. 148) Heranziehung zutreffen (?), wäre die Wurzel als kurzvokalisch anzusetzen, daher gr. κηλ- und germ. hōl- Dehnstufen, lat. cal- Reduktionsstufe.",,Flatterer,"Should Persson's (Beitr. 148) reference apply(?), the root should be assumed as short-voweled, hence Ancient Greek κηλ- and Germanic hōl- long grades, Latin cal- reduced grade."
0,10. kel-,ai.,śiśira-,"kühl, kalt",,this should be k̂el-1,"cool, cold",
,10. kel-,ai.,śiśira-,"kühle Zeit, Kälte",m.,,"cool time, cold",m.
1,10. kel-,av.,sarəta-,kalt,,,cold,
2,10. kel-,npers.,sard,kalt,,,cold,
3,10. kel-,osset.,sald,Kälte,,,Cold,
4,10. kel-,av.,sarə-δā-,Kälte bringend,,,Bringing cold,
5,10. kel-,aisl.,hēla,Reif,"\hi-hlōn-\, vgl. ai. \śi-śira-\",,Mature,"\hi-hlōn-\, compare with Sanskrit \śi-śira-\"
6,10. kel-,ndl.,hal,gefrorener Boden,,,frozen ground,
7,10. kel-,ahd.,hāli,"schlüpfrig, glatt",mit Dehnstufe \ē\,,"slippery, smooth",with elongation level \ē\
8,10. kel-,nhd.,hāl,"schlüpfrig, glatt",Bavarian,,"slippery, smooth",Bavarian
9,10. kel-,schweiz.,hǟl,"schlüpfrig, glatt",,,"slippery, smooth",
10,10. kel-,ags.,hǣlig,unzuverlässig,,,unreliable,
11,10. kel-,aisl.,hāll,"glatt, listig",,,"smooth, sly",
12,10. kel-,lit.,"šąlù, šálti",frieren,,,to freeze/shiver,
13,10. kel-,lett.,sal̂t,frieren,,,to freeze/shiver,
14,10. kel-,lit.,šáltas,kalt,,,cold,
15,10. kel-,lett.,sal̂ts,kalt,,,cold,
16,10. kel-,lit.,šalnà,Reif,,,Mature,
17,10. kel-,lett.,sal̂na,Reif,,,Mature,
18,10. kel-,lit.,pãšalas,gefrorene Erde,,,frozen ground,
19,10. kel-,apr.,passalis,Frost,,,Frost,
20,10. kel-,lit.,pašolỹs,"Nachtfrost, Frost in der Erde",,,"Night frost, frost in the ground",
21,10. kel-,abg.,slana,Reif,,,Mature,
22,10. kel-,ai.,śarád-,Herbst,mit Zahlwörtern 'Jahr',,Autumn,with numeral words 'year'
23,10. kel-,av.,sarəδ-,Jahr,"(s. auch Solmsen KZ. 34, 78 zu lyd. σαρδις `Jahr')",,Year,"(see also Solmsen KZ. 34, 78 on Lydian σαρδις 'year')"
24,10. kel-,osset.,särd,Sommer,,,Summer,
25,10. kel-,npers.,sāl,Jahr,"Herbst' als 'warme Zeit', ebenso lit. \šilus\ 'August', richtiger \šilius\",,Year,"Autumn' as 'warm time', likewise lit. \šilus\ 'August', correctly \šilius\"
26,10. kel-,lat.,"caleō, -ēre","warm, heiß sein, glühen",,,"warm, to be hot, to glow",
27,10. kel-,lat.,calidus,"warm, heiß",,,"warm, hot",
28,10. kel-,lat.,calor,"Wärme, Hitze",,,"Warmth, heat",
29,10. kel-,cymr.,clyd,"warm, wärmend",: lit. šil̃tas,,"warm, warming",lit. warm
30,10. kel-,cymr.,claear,lauwarm,von einer ei̯-Erweiterung,vielleicht,lukewarm,from an ei̯-extension
31,10. kel-,bret.,klouar,lauwarm,von einer ei̯-Erweiterung,vielleicht,lukewarm,from an ei̯-extension
32,10. kel-,as.,halōian,brennen,,,to burn,
33,10. kel-,ahd.,lāo,lau,flect. \lāwēr\; im Germ. wurde eine Erweiterung \*k̂leu-\ frachtbar,,lukewarm,flect. \lāwēr\; an extension \*k̂leu-\ became productive in Germ.
34,10. kel-,aisl.,hlǣr,lau,"vom Wetter hlēwia-, hlāna 'mild werden'",,lukewarm,"from the weather hlēwia-, hlāna 'become mild'"
35,10. kel-,bair.,läunen,tauen,,,thaw,
36,10. kel-,aisl.,hlāka,Tauwetter,,,Thaw,
37,10. kel-,aisl.,hlȳr,lau,,,lukewarm,
38,10. kel-,aisl.,hlȳ,Wärme,n.,,Warmth,n. [UNKNOWN]
39,10. kel-,ags.,hlēowe,lau,,,lukewarm,
40,10. kel-,aisl.,hlē,"Schutz, Leeseite",n.; \*hlēwa-\,,"Protection, lee side",n.; \*hlēwa-\ [UNKNOWN]
41,10. kel-,as.,hleo,Schutz vor dem Wetter,m.,,Protection against the weather,m.
42,10. kel-,afries.,hlī,"Obdach, Decke, Schutz",,,"Shelter, blanket, protection",
43,10. kel-,ags.,"hlēo, hlēow","Obdach, Decke, Schutz",,,"Shelter, blanket, protection",
44,10. kel-,mhd.,"liewe, lie",Laube,,,Arbor,
45,10. kel-,schweiz.,lē,"geschützte Lage, Sonnenseite",,,"protected location, sunny side",
46,10. kel-,schwed.,lya,Höhle von Tieren,,,Cave of animals,
47,10. kel-,norw.,lum,"mild, lau",,norw. dan.???  are these norwegian & danish or norwegian danish?,"mild, tepid",
48,10. kel-,dän.,lummer,"mild, lau",,,"mild, tepid",
49,10. kel-,schwed.,ljum,"mild, lau",,,"mild, tepid",
50,10. kel-,schweiz.,lūm,"mild, vom Wetter",,,"mild, from the weather",
51,10. kel-,ndd.,luk,lau,,,lukewarm,
52,10. kel-,holl.,leuk,lau,,,lukewarm,
53,10. kel-,lit.,"šylù, šilaũ, šìlti",warm werden,,,to warm up,
54,10. kel-,lit.,šil̃tas,warm,,,warm,
55,10. kel-,cymr.,clyd,"cozy, comfortable",,,"cozy, comfortable",
0,11. kel-,lat.,auscultō,"horche, lausche","ursprüngl. 'neige das Ohr' aus \*auscl̥tāre, Ableitung von \*aus-kl̥tos (Specht Idg. Dekl. 285, 333); anders WH. I 86 f.","General note: ""Basis der viel reicher entwickelten Wurzelf. \k̂lei-\ `lehnen' (s. unten) und sehr wahrscheinlich in folgenden Worten anzuerkennen""","listen, pay attention","originally 'incline the ear' from *auscl̥tāre, derived from *aus-kl̥tos (Specht Idg. Decl. 285, 333); differently WH. I 86 f."
1,11. kel-,lit.,šalìs,"Seite, Gegend",,,"Page, area",
2,11. kel-,aisl.,hallr,geneigt,,,inclined,
3,11. kel-,ags.,heald,geneigt,,,inclined,
4,11. kel-,ahd.,hald,geneigt,,,inclined,
5,11. kel-,ahd.,halda,Bergabhang,,,Slope downhill,
6,11. kel-,nhd.,Halde,Bergabhang,,,Slope downhill,
7,11. kel-,aisl.,halla,neigen,,,tend,
8,11. kel-,ahd.,haldōn,sich neigen,,,to lean or to incline,
9,11. kel-,aisl.,hella,"ausgießen, ein Gefäß neigen",wie schweiz. \helde\,,"pour out, tilt a vessel",as Swiss. \helde\
10,11. kel-,got.,wilja-halþei,"Neigung, Gunst",,,"Inclination, favor",
11,11. kel-,got.,hulþs,"geneigten Sinnes, gnädig",,,"inclined mind, gracious",
12,11. kel-,aisl.,hollr,"geneigten Sinnes, gnädig",,,"inclined mind, gracious",
13,11. kel-,ags.,hold,"geneigten Sinnes, gnädig",,,"inclined mind, gracious",
14,11. kel-,as.,hold,"geneigten Sinnes, gnädig",,,"inclined mind, gracious",
15,11. kel-,ahd.,hold,"geneigten Sinnes, gnädig","ahd. huldī 'Huld, Geneigtheit' usw.",,"inclined mind, gracious","ahd. huldī 'grace, inclination' etc."
16,11. kel-,nhd.,hold,"geneigten Sinnes, gnädig",,,"inclined mind, gracious",
17,11. kel-,mnd.,helde,Abhang,f.,,Slope,f. [UNKNOWN]
18,11. kel-,nd.,hille,Raum über den Viehställen zum Schlafen,"aus hilde 'geneigte, schräge Decke'",,Room above the cowsheds for sleeping.,"from hilde 'inclined, slanted ceiling'"
19,11. kel-,norw.,hjell,"Gerüst, Boden",,,"Scaffold, floor",
20,11. kel-,dän.,hjæld,"Heuboden, Hühnersteige, Seller",älter,,"Hay loft, chicken ladder, cellar",older
21,11. kel-,aisl.,hjallr,"Gerüst, Erhöhung",,,"Scaffold, elevation",
22,11. kel-,aisl.,hjalli,"Absatz, Terrasse",,,"Heel, terrace",
23,11. kel-,aisl.,hilla,"Gesims, Bord, Regal",\= mnd. hilde,,"Cornice, shelf, bookshelf",\= mnd. hilde [UNKNOWN]
24,11. kel-,dän.,hylde,Regal,ablautend,,Shelf,showing ablaut
25,11. kel-,schwed.,hylla,Regal,,,Shelf,
