,web_root,root,abbr,reflex,meaning,notes
11,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lett.,svīnît,sich schmutzig machen,refl.
12,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lett.,svīns,beschmutzt,
13,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",arm.,šiv,Bodensatz gepreßter Trauben,*k̂u̯ī̆-u̯o-
14,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",ags.,hwæg,Molken,viel unsicherer *k̂u̯oio-?
15,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",mndl.,wey,Molken,viel unsicherer *k̂u̯oio-?
0,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",ai.,śváñcatē,"öffnet sich, tut sich auf",
1,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",ai.,ucchvaŋká-,"das Aufklaffen, Lücke, Scherbe, Sichauftun",m.
2,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lit.,šùkė,Scharte,f.
3,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lit.,šùkos,Kamm,pl.
4,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lett.,suka,"Bürste, Striegel",f. (wohl aus '*Kamm')
5,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lett.,suk'is,Scherbe,m.
6,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lett.,sukums,"Lücke, Scharte",m.
7,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",slav.,*sъčetь,"Borste, Bürste",f.
8,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",polab.,sacė́t,"Borste, Bürste",
9,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",sloven.,ščę̂t,Bürste,
10,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",russ.,ščetъ,Borste,
0,k̂u̯el-,k̑u̯el-,arm.,šałem,"feuchte, benetzte, bereitete Mörtel",
1,k̂u̯el-,k̑u̯el-,arm.,šałax,"Lehm, Schlamm, Mörtel",-al- = l̥ oder el
2,k̂u̯el-,k̑u̯el-,lit.,švelnùs,"weich, sanft anzufassen",
0,"ku̯elək- oder kelək-, kolək-","ku̯elək-, or kelək-, kolək-",ai.,kūrcá-ḥ,"Bündel, Ballen, Büschel",
1,"ku̯elək- oder kelək-, kolək-","ku̯elək-, or kelək-, kolək-",lat.,culcita,"Kissen, Polster",s. ku̯elp-2 'wölben'
0,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",lat.,combrētum,"eine aromatische Pflanze, wohl eine wermutartige",
1,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",nir.,cuinneog,Angelica silvestris,"(Marstrander ZceltPh. 7, 359)"
2,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",aisl.,huǫnn,Angelicasilvestris,
3,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",dän. färö.,quander,ds.,
4,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",schweiz.,Wannebobbell,arum maculatum,
5,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",lit.,šveñdrai,"eine Art Schilf, Typhalatifolia",
0,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",ai.,kēta-,"Wille, Begierde, Absicht, Aufforderung, Einladung",
1,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",ai.,kētana-,"Aufforderung, Einladung",
2,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",gr.,κοῖται,γυναικῶν ἐπιθυμίαι (?),"Hes., zweifelhaft"
3,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",gr.,κίσσα,krankhaftes Gelüst schwangerer Frauen,zweifelhaft
4,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",gr.,κίττα,krankhaftes Gelüst schwangerer Frauen,"att., *κιτι̯α, zweifelhaft"
5,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",apr.,quāits,Wille,
6,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",apr.,quoi,er will,
7,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",apr.,quoitīt,wollen,
8,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",lit.,kviečiù,einladen,
9,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",lit.,kviẽsti,einladen,
0,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",gr.,πρῖνος,Steineiche,falls aus *ku̯r̥s-no-s (?)
1,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",gall.,prenne,arborem grandem,
2,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",cymr.,prenn,Baum,*ku̯res-no-
3,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",bret.,prenn,Baum,*ku̯res-no-
4,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",air.,crann,"small wood, trees","ablautend, *ku̯r̥s-no-, Genitiv cruinn"
5,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",cymr.,prys,Gehölz,*ku̯r̥s-to-
6,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",cymr.,prysg,Gehölz,*ku̯r̥s-to-
7,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ags.,hyrst,"Gebüsch, Gehölz",*ku̯r̥s-to-
8,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",as.,horst,das selbe,*ku̯r̥s-to-
9,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ahd.,horst,das selbe,*ku̯r̥s-to-
10,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",mud.,horst,das selbe,*ku̯r̥s-to-
11,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ahd.,hurst,das selbe,*ku̯r̥s-to-
12,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",mud.,hurst,das selbe,*ku̯r̥s-to-
13,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",nhd.,Horst,Raubvogelnest,"*ku̯r̥s-to-, weniger wahrscheinlich oben S. 548"
14,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",slav.,*chvorstъ,"Reisig, Strauch","*ku̯ors-to-?, mit unerklärtem Anlaut"
15,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ksl.,chvrastĳe,"small wood, trees","*ku̯ors-to-?, mit unerklärtem Anlaut"
16,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",russ.,chvórost,"Reisig, Strauch","*ku̯ors-to-?, mit unerklärtem Anlaut"
17,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",slov.,hrást,Eiche,"*ku̯ors-to-?, mit unerklärtem Anlaut"
0,kha kha!,kha kha,ai.,kákhati,lacht,(Gramm.)
1,kha kha!,kha kha,arm.,xaxank,Gelächter,
2,kha kha!,kha kha,gr.,καχάζω,lache laut,(aus *χαχάζω)
3,kha kha!,kha kha,lat.,cachinnō,hellauf lachen,
4,kha kha!,kha kha,lat.,cachinnus,Gelächter,
5,kha kha!,kha kha,ahd.,kachazzen,laut lachen,
6,kha kha!,kha kha,ahd.,kichazzen,laut lachen,
7,kha kha!,kha kha,ags.,ceahhettan,laut lachen,
8,kha kha!,kha kha,aksl.,chochotati,das selbe,usw.
9,kha kha!,kha kha,lit.,kikénti,kichern,vgl.
10,kha kha!,kha kha,lit.,kiknóti,kichern,vgl.
11,kha kha!,kha kha,gr.,κηκάζω,schmähe,Ähnliche Schallwurzel kāk- 'auslachen'
12,kha kha!,kha kha,ahd.,huohōn,"spotten, höhnen",Ähnliche Schallwurzel kāk- 'auslachen'
13,kha kha!,kha kha,as.,hōhi-līk,lächerlich,Ähnliche Schallwurzel kāk- 'auslachen'
14,kha kha!,kha kha,ags.,hocor,Spott,Ähnliche Schallwurzel kāk- 'auslachen'; mit germ. -k-
0,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",lat.,quālum,geflochtener Korb,"\*ku̯aslom\, vgl. das Deminutiv"
1,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",lat.,quallus,geflochtener Korb,"\*ku̯aslom\, vgl. das Deminutiv"
2,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",lat.,"quăsillus, -um","Körbchen, Wollkörbchen",mit emphatischem \-ss-\
3,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",abg.,košь,Korb,\*kʷas-i̯o-s\
4,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",russ.,koš,"Korb, Fischreuse; Hürde",usw.
5,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",ksl.,košar(j)a,Hürde,usw.
6,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",russ.,košélь,"Korb, Brotsack",
0,kʷem-,ku̯em-,abbr,reflex,meaning,notes
1,kʷem-,ku̯em-,ai.,cā́mati,schlürft,
2,kʷem-,ku̯em-,ai.,camati,schlürft,
3,kʷem-,ku̯em-,ai.,ācānta-,Partizip,
4,kʷem-,ku̯em-,ai.,camasá-,"Trinkschale, Becher",m. 'männlich'
5,kʷem-,ku̯em-,ai.,camū́-,Schüssel,m. 'männlich'
6,kʷem-,ku̯em-,npers.,čam,das Essen,
7,kʷem-,ku̯em-,npers.,čamīδan,trinken,
8,kʷem-,ku̯em-,osset.,cumun,schlürfen,
9,kʷem-,ku̯em-,arm.,k'im-k',"faux, guttur",Pl. 'Plural'; *kʷēmā-
10,kʷem-,ku̯em-,npers.,kām,Gaumen,Ablautstufe ō
11,kʷem-,ku̯em-,afghan.,kūmai,ds.,Ablautstufe ō
12,kʷem-,ku̯em-,gr.,ἔτεμεν · ἤμελγεν,zweifelhaft,Hesychius
13,kʷem-,ku̯em-,gr.,τέμνοντα,zweifelhaft,"wohl τέμοντα; ἀμέλγοντα Hes., wobei ἀμέλγειν in der spätern Bed. 'Flüssiges aussaugen, auspressen' zu fassen wäre"
14,kʷem-,ku̯em-,nisl.,hvōma,"verschlucken, verschlingen","aus *hvāma, idg. *kʷēmō = ai. cā́mati"
15,kʷem-,ku̯em-,nisl.,hvōma,"Speiseröhre, Schlund",f. 'weiblich'
0,kʷene,ku̯ene,ai.,cana,irgend,"oft negativ, z. B. ai. ná ḗkaś cana 'keiner'"
1,kʷene,ku̯ene,av.,činā̆,irgend,
2,kʷene,ku̯ene,germ.,-ʒin,"(particle: uncertainty, generalization)",
3,kʷene,ku̯ene,aisl.,hver-gin,keineswegs,
4,kʷene,ku̯ene,ags.,hwer-gin,irgendwo,aus hwar 'wo' + -gin
5,kʷene,ku̯ene,asächs.,hwer-gin,irgendwo,aus hwar 'wo' + -gin
6,kʷene,ku̯ene,ahd.,hwer-gin,irgendwo,aus hwar 'wo' + -gin
7,kʷene,ku̯ene,ahd.,io-wergin,"(particle: uncertainty, generalization)",
8,kʷene,ku̯ene,mhd.,iergen,"(particle: uncertainty, generalization)",
9,kʷene,ku̯ene,nhd.,irgend,"(particle: uncertainty, generalization)",
0,kʷeru-,ku̯eru-,ai.,cárvati,"zerkaut, zermalmt","anders über cárvati oben S. 576, 582"
1,kʷeru-,ku̯eru-,ai.,cūrṇa-s,"feiner Staub, Mehl",im -ū- wirkt der zweite Vokal der Basis kʷeru- nach?
2,kʷeru-,ku̯eru-,gr.,τορύνη,σιτῶδές τε,assimil. aus *τερύνᾱ
3,kʷeru-,ku̯eru-,gr.,πορύναν,μαγίδα,entw. aus ablautendem *kʷorunā oder äol. Form von τορύνη
4,kʷeru-,ku̯eru-,gr.,πύρνον,Weizenbrot,-υ- in noch zu untersuchendem Zusammenhang mit dem zweiten Vokal von *kʷeru-
5,kʷeru-,ku̯eru-,gr.,πύρνα,Weizenbrot,-υ- in noch zu untersuchendem Zusammenhang mit dem zweiten Vokal von *kʷeru-
0,kʷr̥mi-,ku̯r̥mi-,ai.,kŕ̥mi-,"Wurm, Made",
1,kʷr̥mi-,ku̯r̥mi-,np.,kirm,Wurm,
2,kʷr̥mi-,ku̯r̥mi-,alb.,krimp,"grub, worm, maggot",
3,kʷr̥mi-,ku̯r̥mi-,alb.,krim-bi,"grub, worm, maggot",
4,kʷr̥mi-,ku̯r̥mi-,geg.,krüm,"grub, worm, maggot",
5,kʷr̥mi-,ku̯r̥mi-,air.,cruim,Wurm,
6,kʷr̥mi-,ku̯r̥mi-,urir.,kʷrimi-,"grub, worm, maggot",
7,kʷr̥mi-,ku̯r̥mi-,cymr.,pryf,Wurm,
8,kʷr̥mi-,ku̯r̥mi-,corn.,pryf,Wurm,
9,kʷr̥mi-,ku̯r̥mi-,bret.,préñv,"grub, worm, maggot",
10,kʷr̥mi-,ku̯r̥mi-,gall.,*Primia,"grub, worm, maggot",FlN
11,kʷr̥mi-,ku̯r̥mi-,nhd.,Pfrimm,"grub, worm, maggot",FlN
12,kʷr̥mi-,ku̯r̥mi-,gall.,Primantia,"grub, worm, maggot",FlN
13,kʷr̥mi-,ku̯r̥mi-,nhd.,Prims,"grub, worm, maggot",FlN
14,kʷr̥mi-,ku̯r̥mi-,apr.,girmis,Made,
15,kʷr̥mi-,ku̯r̥mi-,apr.,kirmis,Made,leg.
16,kʷr̥mi-,ku̯r̥mi-,lit.,kirmìs,"grub, worm, maggot",m. f. usw.
17,kʷr̥mi-,ku̯r̥mi-,lett.,cirmins,"grub, worm, maggot",m.
18,kʷr̥mi-,ku̯r̥mi-,lett.,cḕrme,Spulwurm,f.
19,kʷr̥mi-,ku̯r̥mi-,sloven.,čr̂m,"Karbunkel, Fingerwurm",
20,kʷr̥mi-,ku̯r̥mi-,poln.,czerń,Würmer im faulenden Fleisch,für *czerḿ? vgl. skr. cr̂n 'robigo' für *cr̂m?
21,kʷr̥mi-,ku̯r̥mi-,poln.,czermień,Schlangenkraut,
22,kʷr̥mi-,ku̯r̥mi-,poln.,czermiówka,Natternkraut,
23,kʷr̥mi-,ku̯r̥mi-,sl.,*čьrmьnъ,rot,Adj.-Bildung
24,kʷr̥mi-,ku̯r̥mi-,abg.,črъmьnъ,rot,
25,kʷr̥mi-,ku̯r̥mi-,abg.,črъmьnovati sę,feuerrot werden,
26,kʷr̥mi-,ku̯r̥mi-,lett.,cèrme,Regenwurm,e-Hochstufe
27,kʷr̥mi-,ku̯r̥mi-,lett.,cer̂me,Wurm,e-Hochstufe
28,kʷr̥mi-,ku̯r̥mi-,sl.,*čьrmь,"grub, worm, maggot",
29,kʷr̥mi-,ku̯r̥mi-,sl.,*čьrvь,"grub, worm, maggot",mit eigenartigem vi-Suffix
30,kʷr̥mi-,ku̯r̥mi-,abg.,črъvь,Wurm,
31,kʷr̥mi-,ku̯r̥mi-,russ.,červь,"grub, worm, maggot",
32,kʷr̥mi-,ku̯r̥mi-,lit.,*skirvis,Ameise,vgl.
0,kʷsep- (?),ku̯sep-,ai.,kṣáp,Nacht,
1,kʷsep- (?),ku̯sep-,ai.,kṣapā́,Nacht,
2,kʷsep- (?),ku̯sep-,av.,xšap-,Dunkelheit,
3,kʷsep- (?),ku̯sep-,gr.,ψέφας,Dunkel,
4,kʷsep- (?),ku̯sep-,gr.,ψέφος,Dunkel,neutrum
5,kʷsep- (?),ku̯sep-,gr.,ψεφαρός,dunkel,
6,kʷsep- (?),ku̯sep-,gr.,ψεφηνός,dunkel,
7,kʷsep- (?),ku̯sep-,gr.,κνέφας,Dunkel,
8,kʷsep- (?),ku̯sep-,gr.,δνόφος,Finsternis,
9,kʷsep- (?),ku̯sep-,gr.,γνόφος,das selbe,später
10,kʷsep- (?),ku̯sep-,gr.,δνοφερός,dunkel,homerisch
11,kʷsep- (?),ku̯sep-,gr.,ἰοδνεφής,dunkelviolett,homerisch
12,kʷsep- (?),ku̯sep-,gr.,ζόφος,Dunkel,
13,kʷsep- (?),ku̯sep-,gr.,ζοφερός,dunkel,
14,kʷsep- (?),ku̯sep-,notes,,,Der wechselnde gr. Anlaut beruht auf Tabu-Vorstellungen.
0,lā̆gh-,lā̆gh-,gr.,λαχαίνω,'grabe',
1,lā̆gh-,lā̆gh-,gr.,λάχανον,"'Gartenkraut, Gemüse'",
2,lā̆gh-,lā̆gh-,ir.,lāige,'Spaten',(*lāgjā)
3,lā̆gh-,lā̆gh-,ir.,lāigen,'Lanze',(*lāginā)
4,lā̆gh-,lā̆gh-,cymr.,llain,'Klinge',(*lăgīnā)
0,lai-,lai-,gr.,λᾱρῑνός,"gemästet, fett",*lai̯es-\r-\īnos?
1,lai-,lai-,lat.,lāridum,"Speck, gepökeltes Schweinefleisch",*lai̯es-idom?
2,lai-,lai-,lat.,lardum,"Speck, gepökeltes Schweinefleisch",*lai̯es-idom?
3,lai-,lai-,lat.,lārgus,"reichlich, reichlich schenkend",*laies-agos
4,lai-,lai-,lat.,lae-tus,"fett, üppig, fruchtbar, freudig, fröhlich",
5,lai-,lai-,lat.,laetāre,düngen,
0,lak-,lak-,arm.,lakem,lecken,aus *kk
1,lak-,lak-,lit.,làkti,leckend fressen,
2,lak-,lak-,lett.,lakt,leckend fressen,
3,lak-,lak-,ksl.,loču,lecken,
4,lak-,lak-,ksl.,lokati,lecken,
0,lāmā,lāmā,lat.,lāma,"Pfütze, Sumpf","wohl kaum echt lateinisch; als Appellativ noch heute in Spanien, Südfrankreich, Oberitalien, häufig in ON im N Portugals und Spaniens, Korsika, Oberitalien und Apulien, also im venet.-illyr. Gebiet"
1,lāmā,lāmā,illyr.,Λάμητος,"swamp, puddle","FlN (Bruttium), heute Lamato"
2,lāmā,lāmā,lett.,lãma,"Pfütze, Grube",
3,lāmā,lāmā,lit.,lomà,"swamp, puddle","man erwartet lóma, Akk. Sg. lõmą ds."
4,lāmā,lāmā,bulg.,lam,"Grube, Loch",
0,lāp-,lāp-,alb.,lopë,Kuh,\*lāpā\
1,lāp-,lāp-,lett.,luõps,Vieh,
2,lāp-,lāp-,schweiz.,loobe,Kuh,beeinflußt von 'lieb'
3,lāp-,lāp-,schweiz.,lioba,Kuh,beeinflußt von 'lieb'
0,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",hom.,λαυκανίη,"Kehle, Schlund",
1,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",lit.,ра-laũkis,die Wamme des Rindes,
2,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",wruss.,łkać,"schlucken, trinken","Iter. łýkać 'schlucken, trinken' usw."
3,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",wruss.,*lъkati,"schlucken, trinken","Iter. łýkać 'schlucken, trinken' usw."
4,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",klr.,łýhati,schlucken,"mit h aus ursl. g, vgl. die wohl verwandte Wz. (s)leug- 'schlucken'"
0,leg-2,2. leg-,gr.,ἀλέγω,kümmere mich um etwas,
1,leg-2,2. leg-,gr.,ἀλεγίζω,das selbe,
2,leg-2,2. leg-,gr.,ἀλεγύνω,besorge,ἀ- = die Präp. n̥- 'in'
3,leg-2,2. leg-,gr.,δυσ-ηλεγής,"Beiwort des Todes, als 'schlimm für den Menschen sorgend'",homerisch
4,leg-2,2. leg-,gr.,ἀν-ηλεγής,"Beiwort des Todes, am besten als 'rücksichtslos' zu verstehen",vermutlich für ταν-ηλεγής einzusetzende; homerisch; nach W. Schulze Kl. Schr. 538 aber zu λέγω 'zähle'
5,leg-2,2. leg-,alb.,plok,"nachlässig, träge",aus pa- ('ohne') + log- aus idg. *lēg- 'nec-legens' erweist idg. g für unsere Sippe
6,leg-2,2. leg-,alb.,plogu,"nachlässig, träge",aus pa- ('ohne') + log- aus idg. *lēg- 'nec-legens' erweist idg. g für unsere Sippe
7,leg-2,2. leg-,alb.,plogë,"nachlässig, träge",aus pa- ('ohne') + log- aus idg. *lēg- 'nec-legens' erweist idg. g für unsere Sippe
8,leg-2,2. leg-,alb.,plogëtë,"nachlässig, träge",aus pa- ('ohne') + log- aus idg. *lēg- 'nec-legens' erweist idg. g für unsere Sippe
0,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,alb.,lethī́,Haselstaude,\*ləĝ-\
1,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,alb.,laithī́,Haselstaude,\*ləĝ-\
2,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lit.,laz-d-à,"Stock, Haselstrauch",\*laz-g-da\
3,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lett.,lazda,Haselstrauch,\*laz-g-da\
4,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lett.,lagzda,das selbe,\*laz-g-da\
5,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lett.,lę(g)zda,das selbe,sekundär
6,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,apr.,laxde,das selbe,feminin(um)
7,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,apr.,kel-laxde,Speerschaft,
8,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,slav.,lěs-k-a,Haselstaude,in serbisch \lĳèska\
9,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,serb.,lĳèska,Haselstaude,
10,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,poln.,las-k-a,Stock,
11,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,aksl.,loza,"Weinrebe, Schößling",unsicher ob hierher
12,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,serb.,lòza,"Weinrebe, Schößling",und so weiter (\*ləĝā\)
0,leik-1,1. leik-,lat.,"liceō, -ēre","feil sein, zum Verkauf ausgeboten werden, so und so hoch geschätzt werden",
1,leik-1,1. leik-,lat.,licet,es ist erlaubt,
2,leik-1,1. leik-,lat.,"liceor, -ērī",auf etwas bieten,
3,leik-1,1. leik-,lat.,pollicērī,"(darbieten, sich anheischig machen) versprechen",
4,leik-1,1. leik-,osk.,"líkítud, licitud",to offer for sale,reflex of licētō
5,leik-1,1. leik-,lett.,"līkstu, līku, līkt",handelseins werden,
6,leik-1,1. leik-,lett.,salīkt,"ds., einen Handel abschließen",
7,leik-1,1. leik-,lett.,nuolīkums,Vertrag,
0,leip-2,2. leip-,gr.,λίπτομαι,begehren,
1,leip-2,2. leip-,gr.,λίπτω,begehren,jünger
2,leip-2,2. leip-,gr.,λελιμμένος,begehren,Partiz. Perf. Med. (in akt. Bed.)
3,leip-2,2. leip-,gr.,λίψ,begehren,
4,leip-2,2. leip-,gr.,ἐπιθυμία,Verlangen zu pissen,Hes.
5,leip-2,2. leip-,gr.,λιψουρία,Verlangen zu pissen,
6,leip-2,2. leip-,lit.,liepiù,befehlen,
7,leip-2,2. leip-,lit.,liẽpti,befehlen,
8,leip-2,2. leip-,lit.,pa-liẽpti,befehlen,
9,leip-2,2. leip-,apr.,pallaips,Gebot,-so-St.
10,leip-2,2. leip-,apr.,pallaipsī twei,begehren,
11,leip-2,2. leip-,apr.,laipinna,gebot,
12,leip-2,2. leip-,apr.,-san,Gebot,Akk.
0,(lek-1?) : lok-,1. lek-? : lok-,air.,locht,"Schuld, Fehler",\*lok-tu-\
1,(lek-1?) : lok-,1. lek-? : lok-,ahd.,lahan,tadeln,
2,(lek-1?) : lok-,1. lek-? : lok-,as.,lahan,tadeln,
3,(lek-1?) : lok-,1. lek-? : lok-,ags.,léan,tadeln,
4,(lek-1?) : lok-,1. lek-? : lok-,nisl.,lá,tadeln,ds.
5,(lek-1?) : lok-,1. lek-? : lok-,ags.,leahtor,"Laster, Verbrechen, Tadel",m.
6,(lek-1?) : lok-,1. lek-? : lok-,mnl.,lachter,"Schande, Hohn",
7,(lek-1?) : lok-,1. lek-? : lok-,afries.,laster,"Tadel, Schimpf, Fehler",\*lahstra-\
8,(lek-1?) : lok-,1. lek-? : lok-,ahd.,lastar,"Tadel, Schimpf, Fehler",\*lahstra-\
9,(lek-1?) : lok-,1. lek-? : lok-,as.,lastar,"Tadel, Schimpf, Fehler",\*lahstra-\
10,(lek-1?) : lok-,1. lek-? : lok-,aisl.,lǫstr,"Fehler, Laster",\*lahstru-\ m.
0,lem-2,2. lem-,gr.,λάμος,Schlund,
1,lem-2,2. lem-,gr.,λάμια N. Pl.,Erdschlund,
2,lem-2,2. lem-,gr.,λάμια,Menschenfresserin,"lat. Lw. lamia 'Unholdin, Vampyr', lamium 'Taubnessel' als 'Rachenblütler, Löwenmäulchen'; ebenso bulg. láḿija, láḿa 'Schlange' aus ngr. λάμια"
3,lem-2,2. lem-,gr.,λαμυρός,"gefräßig, gierig",
4,lem-2,2. lem-,lat.,lemurēs,"Nachtgeister, Gespenster; Seelen der Abgeschiedenen",
5,lem-2,2. lem-,cymr.,llef,Stimme,
6,lem-2,2. lem-,mcymr.,llefein,schreien,
7,lem-2,2. lem-,bret.,leñv,"Geschrei, Klage",
8,lem-2,2. lem-,lit.,lemóti,lechzen,
9,lem-2,2. lem-,lett.,lamāt,"schimpfen, schelten",
10,lem-2,2. lem-,lett.,lamatas,Mausefalle,
0,lendh-1,1. lendh-,abrit.,Λίνδον ON,Teich,
1,lendh-1,1. lendh-,gall.,Lindo-magus,Teich,Flußname 'Limmat'; schweiz.
2,lendh-1,1. lendh-,aisl.,lind,Quelle,poetisch; aus dem Air. (?)
3,lendh-1,1. lendh-,as.,Linda,Teich,FlN. 'Lenne'
4,lendh-1,1. lendh-,afries.,lind,Teich,
5,lendh-1,1. lendh-,mhd.,lünde,Welle,ablautend; feminin
0,leng-,leng-,ai.,raṅgati,sich hin und her bewegen,
1,leng-,leng-,alb.,lëngor,biegsam,
2,leng-,leng-,lit.,léngė,Vertiefung,
3,leng-,leng-,lit.,lénkė,Vertiefung,
4,leng-,leng-,lit.,lingúoti,"schweben, sich hin und her bewegen",ablaut.
